,dia,hora,AOD,n,null,tipo
3,1/1/2015,14:20:00,NA,4,4,MOD
5,2/1/2015,13:25:00,0.357,1,0,MOD
12,3/1/2015,14:05:00,NA,4,4,MOD
13,3/1/2015,14:05:00,NA,4,4,MOD
16,4/1/2015,13:10:00,NA,2,2,MOD
21,5/1/2015,13:55:00,NA,5,5,MOD
24,6/1/2015,14:35:00,NA,1,1,MOD
27,7/1/2015,13:40:00,NA,2,2,MOD
32,8/1/2015,14:25:00,NA,2,2,MOD
35,9/1/2015,13:30:00,NA,1,1,MOD
40,10/1/2015,14:10:00,NA,4,4,MOD
48,12/1/2015,14:00:00,NA,4,4,MOD
52,13/1/2015,14:45:00,NA,3,3,MOD
55,14/1/2015,13:50:00,NA,2,2,MOD
58,15/1/2015,14:30:00,NA,1,1,MOD
61,16/1/2015,13:35:00,NA,2,2,MOD
66,17/1/2015,14:20:00,NA,3,3,MOD
68,18/1/2015,13:25:00,NA,1,1,MOD
73,19/1/2015,14:05:00,NA,4,4,MOD
81,21/1/2015,13:55:00,NA,4,4,MOD
87,23/1/2015,13:40:00,NA,1,1,MOD
92,24/1/2015,14:25:00,NA,2,2,MOD
95,25/1/2015,13:30:00,NA,1,1,MOD
100,26/1/2015,14:10:00,NA,2,2,MOD
108,28/1/2015,14:00:00,NA,5,5,MOD
112,29/1/2015,14:45:00,0.116,2,1,MOD
115,30/1/2015,13:50:00,NA,3,3,MOD
118,31/1/2015,14:30:00,NA,3,3,MOD
121,1/2/2015,13:35:00,NA,2,2,MOD
126,2/2/2015,14:20:00,NA,4,4,MOD
128,3/2/2015,13:25:00,NA,1,1,MOD
133,4/2/2015,14:05:00,NA,4,4,MOD
141,6/2/2015,13:55:00,0.556,3,2,MOD
147,8/2/2015,13:40:00,NA,2,2,MOD
152,9/2/2015,14:25:00,NA,1,1,MOD
155,10/2/2015,13:30:00,NA,1,1,MOD
160,11/2/2015,14:10:00,NA,3,3,MOD
168,13/2/2015,14:00:00,NA,4,4,MOD
172,14/2/2015,14:45:00,0.1905,2,0,MOD
175,15/2/2015,13:50:00,NA,2,2,MOD
178,16/2/2015,14:30:00,NA,3,3,MOD
181,17/2/2015,13:35:00,NA,3,3,MOD
