,dia,hora,AOD,n,null,tipo
6,2/1/2015,14:55:00,NA,4,4,MOD
12,4/1/2015,14:45:00,NA,3,3,MOD
15,5/1/2015,15:25:00,NA,2,2,MOD
17,6/1/2015,14:30:00,NA,1,1,MOD
21,7/1/2015,15:15:00,NA,2,2,MOD
28,9/1/2015,15:05:00,NA,3,3,MOD
34,11/1/2015,14:50:00,NA,4,4,MOD
39,13/1/2015,14:40:00,NA,2,2,MOD
42,14/1/2015,15:20:00,NA,2,2,MOD
44,15/1/2015,14:25:00,NA,3,3,MOD
48,16/1/2015,15:10:00,NA,1,1,MOD
50,17/1/2015,14:15:00,NA,2,2,MOD
54,18/1/2015,14:55:00,NA,3,3,MOD
60,20/1/2015,14:45:00,NA,4,4,MOD
63,21/1/2015,15:25:00,NA,1,1,MOD
65,22/1/2015,14:30:00,NA,3,3,MOD
69,23/1/2015,15:15:00,NA,2,2,MOD
70,24/1/2015,14:20:00,NA,3,3,MOD
75,25/1/2015,15:05:00,NA,4,4,MOD
81,27/1/2015,14:50:00,0.293,4,3,MOD
86,29/1/2015,14:40:00,NA,2,2,MOD
89,30/1/2015,15:20:00,NA,3,3,MOD
91,31/1/2015,14:25:00,NA,3,3,MOD
95,1/2/2015,15:10:00,NA,2,2,MOD
97,2/2/2015,14:15:00,NA,3,3,MOD
101,3/2/2015,14:55:00,NA,4,4,MOD
107,5/2/2015,14:45:00,NA,3,3,MOD
110,6/2/2015,15:25:00,NA,1,1,MOD
112,7/2/2015,14:30:00,NA,2,2,MOD
116,8/2/2015,15:15:00,NA,2,2,MOD
118,9/2/2015,14:20:00,NA,3,3,MOD
123,10/2/2015,15:05:00,NA,3,3,MOD
129,12/2/2015,14:50:00,NA,4,4,MOD
134,14/2/2015,14:40:00,NA,2,2,MOD
137,15/2/2015,15:20:00,NA,2,2,MOD
139,16/2/2015,14:25:00,NA,1,1,MOD
144,17/2/2015,15:10:00,NA,2,2,MOD
146,18/2/2015,14:15:00,NA,2,2,MOD
154,21/2/2015,14:45:00,NA,3,3,MOD
157,22/2/2015,15:25:00,NA,2,2,MOD
159,23/2/2015,14:30:00,NA,4,4,MOD
163,24/2/2015,15:15:00,NA,2,2,MOD
166,26/2/2015,15:05:00,NA,2,2,MOD
168,27/2/2015,14:10:00,NA,3,3,MOD
172,28/2/2015,14:50:00,0.916,4,3,MOD
175,1/3/2015,15:35:00,NA,1,1,MOD
177,2/3/2015,14:40:00,NA,4,4,MOD
180,3/3/2015,15:20:00,NA,3,3,MOD
