,dia,hora,AOD,n,null,tipo
3,1/1/2015,20:30:00,NA,3,3,MYD
1,1/1/2015,17:20:00,0.6885,4,2,MOD
5,2/1/2015,19:35:00,NA,1,1,MYD
8,3/1/2015,20:15:00,NA,3,3,MYD
6,3/1/2015,17:10:00,NA,4,4,MOD
10,4/1/2015,19:20:00,NA,2,2,MYD
9,4/1/2015,17:50:00,NA,2,2,MOD
14,5/1/2015,20:05:00,NA,4,4,MYD
11,5/1/2015,16:55:00,NA,4,4,MOD
16,6/1/2015,17:40:00,NA,2,2,MOD
19,7/1/2015,19:50:00,0.171,3,2,MYD
18,7/1/2015,16:45:00,NA,2,2,MOD
23,8/1/2015,20:35:00,NA,1,1,MYD
21,8/1/2015,17:25:00,NA,3,3,MOD
25,9/1/2015,19:40:00,NA,3,3,MYD
23,9/1/2015,16:30:00,NA,3,3,MOD
28,10/1/2015,20:20:00,NA,2,2,MYD
27,10/1/2015,17:15:00,0.379,4,2,MOD
30,11/1/2015,19:25:00,0.3325,2,0,MYD
33,12/1/2015,20:10:00,0.53467,3,0,MYD
33,12/1/2015,17:05:00,0.286,5,3,MOD
37,13/1/2015,17:45:00,0.211,3,1,MOD
39,14/1/2015,20:00:00,0.375,4,1,MYD
39,14/1/2015,16:50:00,0.377,2,1,MOD
42,15/1/2015,20:40:00,NA,2,2,MYD
44,15/1/2015,17:35:00,0.472,2,1,MOD
44,16/1/2015,19:45:00,NA,2,2,MYD
46,16/1/2015,16:40:00,NA,2,2,MOD
48,17/1/2015,20:30:00,NA,1,1,MYD
49,17/1/2015,17:20:00,0.56567,3,0,MOD
50,18/1/2015,19:35:00,0.5355,2,0,MYD
53,19/1/2015,20:15:00,NA,2,2,MYD
55,19/1/2015,17:10:00,0.4795,4,2,MOD
54,20/1/2015,19:20:00,NA,2,2,MYD
58,21/1/2015,20:05:00,NA,4,4,MYD
60,21/1/2015,16:55:00,0.439,2,1,MOD
65,22/1/2015,17:40:00,0.168,1,0,MOD
63,23/1/2015,19:50:00,0.196,4,2,MYD
66,24/1/2015,20:35:00,NA,2,2,MYD
70,24/1/2015,17:25:00,0.2475,4,2,MOD
68,25/1/2015,19:40:00,NA,3,3,MYD
72,25/1/2015,16:30:00,NA,1,1,MOD
71,26/1/2015,20:20:00,NA,1,1,MYD
76,26/1/2015,17:15:00,NA,4,4,MOD
73,27/1/2015,19:25:00,0.225,2,1,MYD
77,28/1/2015,20:10:00,0.21433,4,1,MYD
82,28/1/2015,17:05:00,0.265,3,2,MOD
86,29/1/2015,17:45:00,0.064,1,0,MOD
83,30/1/2015,20:00:00,0.43767,4,1,MYD
88,30/1/2015,16:50:00,NA,2,2,MOD
86,31/1/2015,20:40:00,NA,2,2,MYD
93,31/1/2015,17:35:00,NA,1,1,MOD
87,1/2/2015,19:45:00,NA,4,4,MYD
95,1/2/2015,16:40:00,NA,2,2,MOD
98,2/2/2015,17:20:00,NA,4,4,MOD
93,3/2/2015,19:35:00,NA,2,2,MYD
96,4/2/2015,20:15:00,NA,2,2,MYD
104,4/2/2015,17:10:00,0.22,4,3,MOD
97,5/2/2015,19:20:00,NA,1,1,MYD
101,6/2/2015,20:05:00,0.3385,4,2,MYD
109,6/2/2015,16:55:00,NA,3,3,MOD
114,7/2/2015,17:40:00,0.1005,2,0,MOD
106,8/2/2015,19:50:00,0.4075,3,1,MYD
110,9/2/2015,20:35:00,0.1895,3,1,MYD
119,9/2/2015,17:25:00,0.10233,4,1,MOD
112,10/2/2015,19:40:00,0.391,2,0,MYD
121,10/2/2015,16:30:00,0.247,1,0,MOD
116,11/2/2015,20:25:00,NA,2,2,MYD
125,11/2/2015,17:15:00,0.348,4,1,MOD
117,12/2/2015,19:25:00,NA,3,3,MYD
121,13/2/2015,20:10:00,NA,2,2,MYD
130,13/2/2015,17:05:00,NA,1,1,MOD
134,14/2/2015,17:45:00,NA,2,2,MOD
127,15/2/2015,20:00:00,NA,5,5,MYD
136,15/2/2015,16:50:00,NA,3,3,MOD
130,16/2/2015,20:40:00,NA,2,2,MYD
141,16/2/2015,17:35:00,0.179,1,0,MOD
131,17/2/2015,19:45:00,NA,3,3,MYD
135,18/2/2015,20:30:00,NA,2,2,MYD
146,18/2/2015,17:20:00,0.28,4,1,MOD
137,19/2/2015,19:35:00,0.479,2,0,MYD
140,20/2/2015,20:15:00,NA,2,2,MYD
149,20/2/2015,17:10:00,0.456,3,2,MOD
