,dia,hora,AOD,n,null,tipo
1,1/1/2015,12:35:00,NA,1,1,MOD
6,2/1/2015,13:20:00,NA,4,4,MOD
10,3/1/2015,14:05:00,NA,2,2,MOD
11,4/1/2015,13:05:00,NA,4,4,MOD
16,5/1/2015,13:50:00,0.289,1,0,MOD
18,6/1/2015,12:55:00,NA,1,1,MOD
22,7/1/2015,13:40:00,0.0355,3,1,MOD
24,8/1/2015,12:45:00,NA,3,3,MOD
27,9/1/2015,13:25:00,NA,4,4,MOD
33,11/1/2015,13:15:00,0.33,4,3,MOD
36,12/1/2015,13:55:00,0.224,2,0,MOD
38,13/1/2015,13:00:00,NA,3,3,MOD
43,14/1/2015,13:45:00,NA,1,1,MOD
44,15/1/2015,12:50:00,NA,1,1,MOD
47,16/1/2015,13:30:00,NA,4,4,MOD
54,18/1/2015,13:20:00,NA,3,3,MOD
60,20/1/2015,13:10:00,NA,3,3,MOD
64,21/1/2015,13:50:00,NA,2,2,MOD
66,22/1/2015,12:55:00,NA,2,2,MOD
70,23/1/2015,13:40:00,NA,2,2,MOD
72,24/1/2015,12:45:00,NA,1,1,MOD
75,25/1/2015,13:25:00,0.01,3,2,MOD
81,27/1/2015,13:15:00,NA,4,4,MOD
84,28/1/2015,13:55:00,NA,2,2,MOD
86,29/1/2015,13:00:00,NA,1,1,MOD
91,30/1/2015,13:45:00,NA,4,4,MOD
92,31/1/2015,12:50:00,NA,3,3,MOD
95,1/2/2015,13:30:00,NA,3,3,MOD
102,3/2/2015,13:20:00,0.0705,4,2,MOD
107,5/2/2015,13:05:00,NA,1,1,MOD
108,5/2/2015,13:10:00,NA,2,2,MOD
112,6/2/2015,13:50:00,NA,1,1,MOD
114,7/2/2015,12:55:00,NA,3,3,MOD
118,8/2/2015,13:40:00,NA,2,2,MOD
120,9/2/2015,12:45:00,NA,3,3,MOD
123,10/2/2015,13:25:00,NA,4,4,MOD
129,12/2/2015,13:15:00,NA,4,4,MOD
132,13/2/2015,13:55:00,NA,1,1,MOD
134,14/2/2015,13:00:00,NA,2,2,MOD
139,15/2/2015,13:45:00,NA,3,3,MOD
140,16/2/2015,12:50:00,NA,2,2,MOD
143,17/2/2015,13:30:00,NA,4,4,MOD
150,19/2/2015,13:20:00,NA,5,5,MOD
154,21/2/2015,13:05:00,NA,4,4,MOD
158,22/2/2015,13:50:00,0.137,1,0,MOD
160,23/2/2015,12:55:00,NA,2,2,MOD
163,24/2/2015,13:40:00,NA,5,5,MOD
165,25/2/2015,12:45:00,NA,3,3,MOD
167,26/2/2015,13:25:00,0.37,4,2,MOD
173,28/2/2015,13:15:00,NA,4,4,MOD
176,1/3/2015,13:55:00,NA,2,2,MOD
178,2/3/2015,13:00:00,NA,1,1,MOD
182,3/3/2015,13:45:00,NA,2,2,MOD
