,dia,hora,AOD,n,null,tipo
2,1/1/2015,14:20:00,NA,2,2,MOD
7,2/1/2015,15:00:00,NA,3,3,MOD
10,3/1/2015,14:05:00,0.2,3,2,MOD
15,4/1/2015,14:50:00,NA,4,4,MOD
18,5/1/2015,15:30:00,NA,1,1,MOD
21,6/1/2015,14:35:00,NA,4,4,MOD
26,7/1/2015,15:20:00,0.245,2,1,MOD
29,8/1/2015,14:25:00,NA,1,1,MOD
34,9/1/2015,15:05:00,0.208,4,2,MOD
36,10/1/2015,14:10:00,0.321,3,1,MOD
42,11/1/2015,14:55:00,NA,4,4,MOD
45,12/1/2015,14:00:00,0.213,1,0,MOD
47,12/1/2015,15:40:00,0.121,3,0,MOD
50,13/1/2015,14:45:00,NA,3,3,MOD
53,14/1/2015,15:25:00,NA,1,1,MOD
56,15/1/2015,14:30:00,NA,2,2,MOD
61,16/1/2015,15:15:00,NA,1,1,MOD
63,17/1/2015,14:20:00,0.424,3,1,MOD
68,18/1/2015,15:00:00,NA,4,4,MOD
71,19/1/2015,14:05:00,NA,2,2,MOD
76,20/1/2015,14:50:00,NA,4,4,MOD
82,22/1/2015,14:35:00,NA,3,3,MOD
87,23/1/2015,15:20:00,0.142,1,0,MOD
90,24/1/2015,14:25:00,NA,3,3,MOD
95,25/1/2015,15:05:00,NA,1,1,MOD
97,26/1/2015,14:10:00,NA,2,2,MOD
103,27/1/2015,14:55:00,NA,3,3,MOD
108,28/1/2015,15:40:00,0.10267,3,0,MOD
111,29/1/2015,14:45:00,0.4,3,2,MOD
114,30/1/2015,15:25:00,0.127,1,0,MOD
117,31/1/2015,14:30:00,NA,3,3,MOD
122,1/2/2015,15:15:00,NA,2,2,MOD
124,2/2/2015,14:20:00,NA,2,2,MOD
129,3/2/2015,15:00:00,0.244,4,3,MOD
132,4/2/2015,14:05:00,0.2135,2,0,MOD
137,5/2/2015,14:50:00,NA,4,4,MOD
143,7/2/2015,14:35:00,NA,3,3,MOD
151,9/2/2015,14:25:00,NA,3,3,MOD
156,10/2/2015,15:05:00,NA,2,2,MOD
158,11/2/2015,14:10:00,0.238,2,1,MOD
164,12/2/2015,14:55:00,NA,3,3,MOD
169,13/2/2015,15:40:00,0.0745,2,0,MOD
172,14/2/2015,14:45:00,NA,3,3,MOD
175,15/2/2015,15:25:00,NA,3,3,MOD
178,16/2/2015,14:30:00,NA,3,3,MOD
184,17/2/2015,15:15:00,NA,1,1,MOD
186,18/2/2015,14:20:00,NA,2,2,MOD
192,20/2/2015,14:05:00,NA,3,3,MOD
197,21/2/2015,14:50:00,NA,4,4,MOD
203,23/2/2015,14:35:00,NA,2,2,MOD
208,24/2/2015,15:20:00,NA,1,1,MOD
213,26/2/2015,15:05:00,NA,3,3,MOD
215,27/2/2015,14:10:00,NA,3,3,MOD
221,28/2/2015,14:55:00,NA,3,3,MOD
224,1/3/2015,14:00:00,0.192,3,2,MOD
226,1/3/2015,15:40:00,0.082,1,0,MOD
229,2/3/2015,14:45:00,NA,4,4,MOD
232,3/3/2015,15:25:00,NA,1,1,MOD
