region,num,estacion,metrica,temporal,espacial,valor,collection,min,max
latam,1,SP,bias,30,1,-0.06,C60,0,0
latam,1,SP,bias,60,1,-0.06,C60,0,0
latam,1,SP,bias,90,1,-0.06,C60,0,0
latam,1,SP,bias,120,1,-0.06,C60,0,0
latam,1,SP,bias,30,1,-0.04,C61,0,0
latam,1,SP,bias,60,1,-0.04,C61,0,0
latam,1,SP,bias,90,1,-0.04,C61,0,0
latam,1,SP,bias,120,1,-0.04,C61,0,0
latam,1,SP,bias,30,3,-0.06,C60,0,0
latam,1,SP,bias,60,3,-0.06,C60,0,0
latam,1,SP,bias,90,3,-0.06,C60,0,0
latam,1,SP,bias,120,3,-0.05,C60,0,0
latam,1,SP,bias,30,3,-0.03,C61,0,0
latam,1,SP,bias,60,3,-0.03,C61,0,0
latam,1,SP,bias,90,3,-0.03,C61,0,0
latam,1,SP,bias,120,3,-0.03,C61,0,0
latam,1,SP,bias,30,5,-0.06,C60,0,0
latam,1,SP,bias,60,5,-0.05,C60,0,0
latam,1,SP,bias,90,5,-0.05,C60,0,0
latam,1,SP,bias,120,5,-0.05,C60,0,0
latam,1,SP,bias,30,5,-0.02,C61,0,0
latam,1,SP,bias,60,5,-0.02,C61,0,0
latam,1,SP,bias,90,5,-0.02,C61,0,0
latam,1,SP,bias,120,5,-0.02,C61,0,0
latam,1,SP,bias,30,15,-0.05,C60,0,0
latam,1,SP,bias,60,15,-0.05,C60,0,0
latam,1,SP,bias,90,15,-0.05,C60,0,0
latam,1,SP,bias,120,15,-0.05,C60,0,0
latam,1,SP,bias,30,15,-0.03,C61,0,0
latam,1,SP,bias,60,15,-0.02,C61,0,0
latam,1,SP,bias,90,15,-0.02,C61,0,0
latam,1,SP,bias,120,15,-0.02,C61,0,0
latam,1,SP,bias,30,25,-0.06,C60,0,0
latam,1,SP,bias,60,25,-0.05,C60,0,0
latam,1,SP,bias,90,25,-0.05,C60,0,0
latam,1,SP,bias,120,25,-0.05,C60,0,0
latam,1,SP,bias,30,25,-0.04,C61,0,0
latam,1,SP,bias,60,25,-0.03,C61,0,0
latam,1,SP,bias,90,25,-0.03,C61,0,0
latam,1,SP,bias,120,25,-0.02,C61,0,0
latam,2,ST,bias,30,1,-0.06,C60,0,0
latam,2,ST,bias,60,1,-0.06,C60,0,0
