,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
1,1/1/2015,0.095,0.09389323,0.11229,0.076435584
3,3/1/2015,0.017,0.070998376,0.048625,0.06972002
4,4/1/2015,0.1135,0.099995485,0.168,0.099995485
5,5/1/2015,0.118375,0.104721536,0.13725,0.104721536
6,6/1/2015,0.104,0.140707896,0.15975,0.140707896
7,7/1/2015,0.186875,0.185077876,0.212875,0.185077876
8,8/1/2015,0.098875,0.129203629,0.109,0.129203629
9,9/1/2015,0.06675,0.120053255,0.07425,0.118934816
10,10/1/2015,0.057,0.116567464,0.102875,0.107037114
11,11/1/2015,0.093,0.094239051,0.10925,0.094239051
12,12/1/2015,0.09725,0.122175176,0.108,0.122175176
13,13/1/2015,0.127375,0.173451388,0.1765,0.173451388
14,14/1/2015,0.1335,0.173963602,0.152625,0.173963602
15,15/1/2015,0.082415,0.175125396,0.1145,0.175125396
16,16/1/2015,0.113125,0.165517699,0.1455,0.15856787
17,17/1/2015,0.128625,0.158845655,0.14675,0.158845655
18,18/1/2015,0.25925,0.229989941,0.268875,0.221802057
19,20/1/2015,0.10925,0.189305909,0.12025,0.189305909
20,21/1/2015,0.208625,0.231401075,0.226875,0.231401075
21,22/1/2015,0.1035,0.208819439,0.13075,0.208819439
22,23/1/2015,0.0785,0.136642237,0.10375,0.108562606
23,24/1/2015,0.063625,0.087088447,0.065375,0.087088447
24,25/1/2015,0.07075,0.071682227,0.08425,0.071682227
25,26/1/2015,0.01725,0.08673841,0.049125,0.074346313
26,27/1/2015,0.04075,0.044990779,0.04325,0.083944161
27,28/1/2015,0.0495,0.146107889,0.087583333,0.131753877
28,29/1/2015,0.087125,0.134268175,0.125375,0.134268175
30,31/1/2015,0.088125,0.13296347,0.11475,0.13296347
31,1/2/2015,0.090583333,0.111229752,0.105083333,0.111229752
32,2/2/2015,0.0815,0.125719113,0.110625,0.125719113
33,3/2/2015,0.045,0.086698049,0.082875,0.119410441
34,4/2/2015,0.068625,0.109894148,0.079,0.109894148
35,5/2/2015,0.096125,0.157159119,0.14446,0.157159119
36,7/2/2015,0.04975,0.109214781,0.073375,0.109214781
37,8/2/2015,0.05075,0.081697044,0.090625,0.070857794
38,10/2/2015,0.081375,0.166466748,0.1055,0.166466748
39,11/2/2015,0.0265,0.167732458,0.08525,0.154709443
40,12/2/2015,0.05075,0.116726368,0.07625,0.116726368
41,13/2/2015,0.07225,0.13405408,0.078916667,0.13405408
42,14/2/2015,0.087625,0.181202371,0.1425,0.181202371
43,15/2/2015,0.13,0.124887316,0.137625,0.143053223
44,16/2/2015,0.076125,0.196867083,0.108375,0.196867083
45,17/2/2015,0.0775,0.155598194,0.111916667,0.152414432
46,18/2/2015,0.09925,0.110341512,0.094,0.110341512
47,19/2/2015,0.156,0.245741704,0.17975,0.245741704
48,21/2/2015,0.1315,0.202994328,0.188625,0.202994328
49,22/2/2015,0.106375,0.117237991,0.1255,0.117237991
50,23/2/2015,0.05925,0.12631016,0.082125,0.12631016
51,25/2/2015,0.10675,0.155370899,0.10075,0.155370899
52,26/2/2015,0.16375,0.273042776,0.1895,0.273042776
53,27/2/2015,0.12075,0.319802345,0.16375,0.253393722
55,1/3/2015,0.041625,0.116484517,0.073,0.104719102
56,2/3/2015,0.076375,0.129532934,0.124875,0.129532934
57,3/3/2015,0.080875,0.138030432,0.095125,0.138030432
58,4/3/2015,0.06175,0.100379589,0.07025,0.100379589
59,5/3/2015,0.03225,0.111113347,0.053,0.109674255
60,6/3/2015,0.018,0.156230692,0.07375,0.158150817
61,7/3/2015,0.10375,0.119636859,0.11525,0.154477351
62,8/3/2015,0.05825,0.126698481,0.085875,0.099833696
63,9/3/2015,0.03975,0.055300749,0.03975,0.099205078
64,10/3/2015,0.053875,0.110251802,0.0645,0.110251802
65,11/3/2015,0.05975,0.14366438,0.056375,0.14366438
67,13/3/2015,0.088625,0.173672067,0.097625,0.173672067
68,14/3/2015,0.059,0.151836037,0.060875,0.151836037
69,15/3/2015,0.066625,0.101081685,0.067875,0.101081685
70,16/3/2015,0.074875,0.148137335,0.08775,0.148137335
71,17/3/2015,0.080875,0.180457169,0.089583333,0.184504578
72,18/3/2015,0.06225,0.100610284,0.077875,0.138823653
73,19/3/2015,0.081375,0.146040001,0.095125,0.146040001
74,20/3/2015,0.04725,0.086247697,0.049125,0.086247697
75,22/3/2015,0.097,0.145109622,0.1245,0.123078263
76,27/3/2015,0.104,0.098735383,0.111625,0.098735383
77,28/3/2015,0.06225,0.160540768,0.135875,0.169732863
78,29/3/2015,0.14575,0.148255621,0.157625,0.148255621
79,30/3/2015,0.1285,0.141328227,0.1375,0.141328227
80,31/3/2015,0.045,0.114782669,0.0425,0.114782669
81,1/4/2015,0.06325,0.097875594,0.086625,0.114267761
82,2/4/2015,0.029,0.172364701,0.068666667,0.162299819
83,3/4/2015,0.10375,0.098750767,0.105,0.098750767
84,4/4/2015,0.0645,0.138540207,0.095125,0.119789229
85,5/4/2015,0.10175,0.043145183,0.085,0.06355635
86,6/4/2015,0.07775,0.098247378,0.09675,0.098247378
88,8/4/2015,0.108,0.299475021,0.124375,0.299475021
89,9/4/2015,0.03225,0.10342936,0.044125,0.110341399
90,10/4/2015,0.038875,0.088694312,0.048625,0.088694312
91,11/4/2015,0.045375,0.099565387,0.05825,0.099565387
92,12/4/2015,0.104125,0.138453965,0.115375,0.138453965
93,13/4/2015,0.124,0.232530857,0.1515,0.232530857
94,14/4/2015,0.18075,0.326234086,0.194875,0.326234086
96,17/4/2015,0.0435,0.143268672,0.06175,0.143268672
97,18/4/2015,0.03125,0.101184569,0.034916667,0.101184569
98,21/4/2015,0.06975,0.210837695,0.106625,0.215904754
99,22/4/2015,0.052375,0.150788108,0.0565,0.150788108
100,23/4/2015,0.04425,0.145297543,0.049625,0.145297543
101,24/4/2015,0.035125,0.146589774,0.03975,0.146589774
102,25/4/2015,0.18625,0.374092558,0.20125,0.374092558
