,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
1,2/1/2015,0.058,0.026278604,0.062375,0.026808794
2,3/1/2015,0.089625,0.03947868,0.128625,0.03947868
3,5/1/2015,0.08075,0.05373326,0.13425,0.05373326
4,8/1/2015,0.13189,0.053382677,0.17525,0.053382677
5,9/1/2015,0.114,0.032148166,0.0785,0.032148166
6,10/1/2015,0.129665,0.268686859,0.196875,0.268686859
7,12/1/2015,0.079125,0.09085172,0.168625,0.09085172
9,20/1/2015,0.157,0.085416724,0.195,0.085416724
10,21/1/2015,0.0915,0.043998765,0.10775,0.043998765
11,29/1/2015,0.1005,0.063483156,0.14275,0.063483156
12,30/1/2015,0.08025,0.027101852,0.08375,0.027101852
13,31/1/2015,0.125,0.065305987,0.1685,0.065305987
14,1/2/2015,0.168125,0.079094574,0.1635,0.079094574
15,2/2/2015,0.0935,0.05524047,0.113,0.05524047
16,6/2/2015,0.065375,0.061821231,0.114,0.061821231
17,7/2/2015,0.122875,0.053927371,0.16825,0.053927371
18,8/2/2015,0.0535,0.037142049,0.11825,0.037142049
19,9/2/2015,0.082,0.05289399,0.14325,0.05289399
20,11/2/2015,0.063,0.063005498,0.157875,0.058816483
21,12/2/2015,0.126375,0.072218682,0.181625,0.072218682
22,17/2/2015,0.133,0.084966362,0.141125,0.084966362
23,20/2/2015,0.10525,0.176360128,0.2205,0.217025903
24,22/2/2015,0.11225,0.121604605,0.172875,0.121604605
25,23/2/2015,0.147625,0.173604176,0.195625,0.173604176
26,24/2/2015,0.06525,0.046311278,0.108,0.046311278
28,28/2/2015,0.0895,0.038233847,0.11475,0.038233847
29,2/3/2015,0.134375,0.100744817,0.18125,0.100744817
30,5/3/2015,0.113,0.045448493,0.0445,0.045448493
31,6/3/2015,0.082165,0.043011047,0.124375,0.043011047
32,7/3/2015,0.105,0.038001408,0.154125,0.038001408
35,28/3/2015,0.04375,0.036214521,0.065125,0.036214521
36,29/3/2015,0.073166667,0.037108748,0.106333333,0.037108748
37,31/3/2015,0.165,0.086198543,0.2335,0.086198543
38,1/4/2015,0.078625,0.05034959,0.13175,0.05034959
39,2/4/2015,0.04875,0.050496846,0.11625,0.050496846
40,3/4/2015,0.1155,0.117247664,0.17925,0.117247664
41,5/4/2015,0.07125,0.122378333,0.1405,0.122378333
42,6/4/2015,0.055,0.084064264,0.07775,0.067228997
44,8/4/2015,0.104,0.062721908,0.151375,0.056135658
45,9/4/2015,0.070875,0.07185257,0.119875,0.07185257
46,11/4/2015,0.12,0.094283563,0.14475,0.094283563
47,12/4/2015,0.06275,0.078943525,0.12375,0.078943525
