,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
1,3/1/2015,0.08075,0.040528074,0.10075,0.040528074
5,12/1/2016,0.153,0.291571895,0.17475,0.291571895
6,17/1/2016,0.080875,0.146098998,0.10975,0.146098998
7,18/1/2016,0.144,0.192424829,0.147,0.192424829
8,26/1/2016,0.202,0.387564154,0.26075,0.387564154
9,12/2/2016,0.203,0.165494947,0.248,0.165494947
11,25/3/2016,0.313,0.360645003,0.295,0.360645003
12,4/4/2016,0.109,0.357922784,0.1555,0.357922784
14,15/4/2016,0.16725,0.205294786,0.18025,0.205294786
15,21/4/2016,0.084,0.112742925,0.075,0.112742925
19,9/7/2016,0.082,0.052604777,0.10067,0.050296034
20,6/8/2016,0.05875,0.087846729,0.04375,0.087846729
21,23/4/2018,0.05625,0.146652112,0.096,0.146652112
24,17/5/2018,0.11675,0.134341833,0.158,0.134341833
25,2/6/2018,0.034,0.102090075,0.0565,0.102090075
28,25/7/2018,0.03233,0.045449968,0.074375,0.052109888
29,6/8/2018,0.01575,0.165583123,0.0135,0.165583123
30,11/8/2018,0.0695,0.093686807,0.07475,0.093686807
34,16/12/2018,0.095,0.138155094,0.13725,0.138155094
36,31/12/2018,0.097,0.107998985,0.121,0.107998985
37,1/1/2019,0.019,0.096080972,0.0355,0.096080972
38,2/1/2019,0.0195,0.077197416,0.043,0.077197416
39,3/1/2019,0.04375,0.085344213,0.062,0.085344213
41,8/1/2019,0.15833,0.225646246,0.214,0.225646246
44,24/1/2019,0.112,0.153223704,0.1675,0.153223704
48,5/6/2019,0.117,0.111241217,0.164,0.111241217
49,26/6/2019,0.0195,0.056817669,0.05075,0.056817669
54,4/8/2019,0.04,0.0494183,0.11325,0.0494183
57,1/10/2019,0.145,0.165725081,0.17675,0.165725081
58,23/10/2019,0.187,0.161777446,0.2455,0.161777446
62,24/11/2019,0.1635,0.117162566,0.21567,0.117162566
63,1/12/2019,0.1,0.092110903,0.15625,0.092110903
65,5/12/2019,0.1425,0.115262402,0.17675,0.115262402
66,9/12/2019,0.12025,0.094652453,0.1655,0.094652453
67,19/12/2019,0.122,0.080407162,0.1415,0.080407162
69,29/1/2020,0.1265,0.174964757,0.241,0.190823581
72,7/2/2020,0.273,0.369058596,0.26725,0.369058596
74,18/2/2020,0.16575,0.126732086,0.23425,0.126732086
77,5/3/2020,0.15025,0.163962976,0.177,0.163962976
78,17/3/2020,0.395,0.561584645,0.364,0.483146615
79,2/4/2020,0.065,0.118719596,0.0295,0.118719596
80,20/5/2020,0.03575,0.084432344,0.005,0.084432344
84,19/6/2020,0.085,0.124148914,0.12067,0.124148914
86,6/7/2020,0.1035,0.115946099,0.14,0.115946099
90,16/7/2020,0.116,0.104108887,0.12,0.104108887
91,17/7/2020,0.03425,0.059723769,0.0645,0.046794898
92,28/7/2020,0.085,0.07996733,0.13725,0.07996733
95,12/8/2020,0.08275,0.069479854,0.18625,0.069479854
97,31/8/2020,0.07525,0.138203281,0.11125,0.138203281
101,10/10/2020,0.03975,0.060166897,0.05625,0.060166897
103,2/11/2020,0.11825,0.048632279,0.18775,0.048632279
104,7/10/2021,0.173,0.106079505,0.164,0.106079505
107,17/11/2021,0.31133,0.201410786,0.36425,0.201410786
111,2/12/2021,0.0785,0.130754021,0.09567,0.130754021
112,15/12/2021,0.2565,0.26641434,0.286,0.26641434
114,4/1/2022,0.16675,0.171467673,0.357,0.171467673
117,27/1/2022,0.2675,0.235650946,0.182,0.235650946
118,28/1/2022,0.08575,0.244243803,0.087,0.244243803
119,29/1/2022,0.11925,0.198858641,0,0.198858641
120,31/1/2022,0.08775,0.102470965,0.052,0.107067212
121,1/2/2022,0.1595,0.189565652,0.15767,0.189565652
124,21/2/2022,0.12875,0.134232926,0,0.134232926
126,14/3/2022,0.149,0.164060854,0.12125,0.164060854
127,6/4/2022,0.19125,0.170715467,0.19925,0.170715467
129,3/5/2022,0.0985,0.081571026,0.012,0.077894261
130,8/5/2022,0.11325,0.134751012,0.13125,0.134751012
133,12/5/2022,0.249,0.128557412,0.104,0.128557412
134,10/6/2022,0.182,0.136103576,0.15925,0.136103576
135,22/6/2022,0.0785,0.134280992,0.00625,0.134280992
137,19/7/2022,0.02775,0.077974186,0.009,0.077974186
138,29/7/2022,0.1305,0.087301667,0.1095,0.087301667
139,30/7/2022,0.128,0.088014458,0.153,0.088014458
140,7/8/2022,0.137,0.092184685,0.07775,0.092184685
141,8/8/2022,0.0235,0.079071743,0.02475,0.079071743
142,24/8/2022,0.131,0.216754036,0.1425,0.216754036
143,30/8/2022,0.053,0.128006272,0.009,0.128006272
145,8/9/2022,0.136,0.154386021,0.076,0.154386021
