,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
2,18/2/2015,0.0655,0.067698328,0.086,0.067698328
3,19/2/2015,0.1405,0.03771886,0.1705,0.03771886
4,26/2/2015,0.2065,0.027785734,0.2135,0.027785734
6,5/4/2015,0.15,0.046405886,0.1765,0.046405886
7,27/4/2015,0.129,0.066811687,0.1605,0.066811687
9,30/4/2015,0.218,0.063118197,0.2265,0.063118197
10,3/5/2015,0.065875,0.056285759,0.11625,0.056285759
11,4/5/2015,0.098585,0.072023954,0.111,0.072023954
12,6/5/2015,0.06175,0.072531244,0.09925,0.072531244
13,10/5/2015,0.07475,0.055270756,0.147875,0.066020356
14,11/5/2015,0.1355,0.103505344,0.172,0.103505344
15,12/5/2015,0.19175,0.141721455,0.20067,0.141721455
16,13/5/2015,0.0605,0.087150768,0.0865,0.087150768
17,14/5/2015,0.15375,0.112529266,0.19375,0.112529266
18,18/5/2015,0.041,0.07548037,0.042,0.07548037
20,20/5/2015,0.132375,0.108677481,0.15625,0.108677481
21,21/5/2015,0.07775,0.05628764,0.0965,0.05628764
22,22/5/2015,0.045375,0.071218336,0.084375,0.071218336
23,23/5/2015,0.106375,0.10166969,0.12075,0.10166969
24,24/5/2015,0.07625,0.071317452,0.08975,0.071317452
25,26/5/2015,0.192,0.09338978,0.24933,0.09338978
26,27/5/2015,0.10275,0.031999372,0.121,0.031999372
27,28/5/2015,0.1475,0.064531161,0.180915,0.085297378
28,29/5/2015,0.05675,0.067496984,0.078625,0.067496984
29,30/5/2015,0.07525,0.058432472,0.085125,0.058432472
30,31/5/2015,0.12575,0.10346231,0.138,0.10346231
31,2/6/2015,0.2475,0.132283219,0.249625,0.111999199
32,3/6/2015,0.06975,0.111524412,0.117875,0.109786805
33,4/6/2015,0.09875,0.070460665,0.197,0.070460665
34,5/6/2015,0.030375,0.048984875,0.059875,0.048984875
35,6/6/2015,0.0555,0.062144345,0.067,0.062144345
36,7/6/2015,0.04,0.048591605,0.068375,0.048591605
37,8/6/2015,0.07,0.112620747,0.0815,0.112620747
38,10/6/2015,0.061875,0.07005238,0.074625,0.07005238
39,11/6/2015,0.073,0.072052253,0.101125,0.072052253
40,12/6/2015,0.08475,0.080224216,0.1,0.080224216
41,13/6/2015,0.055375,0.060816282,0.083125,0.060816282
42,14/6/2015,0.0465,0.063156687,0.064875,0.063156687
43,15/6/2015,0.164,0.131935663,0.18925,0.131935663
44,16/6/2015,0.1045,0.140289671,0.1085,0.140289671
45,17/6/2015,0.05125,0.06846744,0.0655,0.06846744
46,19/6/2015,0.10725,0.081297556,0.135125,0.094996295
47,20/6/2015,0.105,0.084210437,0.121375,0.075735098
48,21/6/2015,0.082375,0.074694723,0.10075,0.074694723
49,23/6/2015,0.166,0.131866788,0.21175,0.131866788
50,24/6/2015,0.110375,0.117645778,0.130625,0.117645778
51,25/6/2015,0.110625,0.106808844,0.1175,0.106808844
52,26/6/2015,0.118875,0.13418674,0.137375,0.13418674
53,29/6/2015,0.038375,0.055564005,0.072875,0.055564005
54,30/6/2015,0.035375,0.065734905,0.05225,0.065734905
55,1/7/2015,0.053,0.123322365,0.06925,0.123322365
56,6/7/2015,0.0885,0.080845711,0.0915,0.080845711
57,7/7/2015,0.02225,0.048273839,0.06975,0.043742667
58,8/7/2015,0.079,0.050664877,0.09675,0.050664877
59,10/7/2015,0.034,0.054307612,0.037375,0.054307612
60,11/7/2015,0.064625,0.063409171,0.05325,0.063409171
61,12/7/2015,0.06275,0.058057106,0.065625,0.058057106
62,13/7/2015,0.10275,0.0582931,0.116,0.0582931
64,19/7/2015,0.04025,0.035237526,0.038375,0.035237526
65,20/7/2015,0.06375,0.050528817,0.061,0.050528817
66,21/7/2015,0.087875,0.091336726,0.101875,0.091336726
67,22/7/2015,0.076375,0.084966215,0.09325,0.084966215
68,23/7/2015,0.088875,0.099172358,0.096,0.099172358
69,24/7/2015,0.1575,0.106072986,0.15525,0.106072986
70,25/7/2015,0.116,0.09837004,0.094,0.099382676
71,26/7/2015,0.100125,0.072693161,0.113875,0.072693161
72,27/7/2015,0.100375,0.084878559,0.098375,0.084878559
73,28/7/2015,0.11575,0.082229517,0.1415,0.082229517
