,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean
1,4/4/2015,0.26,0.14781,0.178332921
2,8/4/2015,0.067,0.14326,0.120235061
3,12/4/2015,0.434,0.26122,0.343902167
4,20/4/2015,0.11933,0.0805,0.188110515
5,27/4/2015,0.1215,0.07757,0.139625121
6,17/5/2015,0.223,0.17926,0.124267126
7,20/5/2015,0.265,0.17609,0.181884125
8,21/5/2015,0.205,0.08637,0.122080384
9,22/5/2015,0.1175,0.08474,0.10559559
10,4/6/2015,0.347,0.155485,0.136027026
11,5/6/2015,0.08667,0.058475,0.123176222
12,5/6/2015,0.1505,0.058475,0.114475114
13,6/6/2015,0.137,0.05178,0.124211397
14,9/6/2015,0.1495,0.160925,0.199970691
15,10/6/2015,0.07667,0.05663,0.096281507
16,11/6/2015,0.09167,0.032755,0.074115452
17,13/6/2015,0.084,0.04313,0.076805932
18,14/6/2015,0.13,0.067545,0.088350685
19,14/6/2015,0.103,0.067545,0.067440978
20,18/6/2015,0.14267,0.10235,0.122863936
21,20/6/2015,0.1305,0.07622,0.097292372
22,21/6/2015,0.1025,0.05564,0.105503749
23,21/6/2015,0.111,0.05564,0.098609419
24,22/6/2015,0.0665,0.0435,0.116813339
25,23/6/2015,0.09567,0.02996,0.075570015
26,27/6/2015,0.14633,0.052905,0.113856227
27,28/6/2015,0.054,0.04887,0.063089456
28,29/6/2015,0.31933,0.096,0.104489427
29,30/6/2015,0.1095,0.03698,0.073739215
30,14/7/2015,0.008,0.05844,0.065405965
31,18/7/2015,0.365,0.16827,0.236507054
32,19/7/2015,0.091,0.044485,0.072035254
33,20/7/2015,0.214,0.16283,0.0660242
34,24/7/2015,0.193,0.1038,0.154257489
35,26/7/2015,0.145,0.1346,0.092753262
36,27/7/2015,0.09,0.05547,0.089053842
37,28/7/2015,0.028,0.16328,0.145736345
38,29/7/2015,0.18633,0.117115,0.269718193
39,30/7/2015,0.07233,0.05813,0.150986776
40,31/7/2015,0.188,0.10663,0.16335812
41,31/7/2015,0.2215,0.10663,0.192131372
42,1/8/2015,0.15933,0.10247,0.216480062
43,1/8/2015,0.155,0.10247,0.18353423
44,2/8/2015,0.0945,0.063845,0.099801378
45,2/8/2015,0.174,0.063845,0.112146474
46,3/8/2015,0.07933,0.034545,0.0803926
47,3/8/2015,0.06,0.034545,0.104500556
48,5/8/2015,0.18833,0.12002,0.170888938
49,7/8/2015,0.134,0.08239,0.161525768
50,8/8/2015,0.318,0.153735,0.218939843
51,9/8/2015,0.234,0.182745,0.21082885
52,10/8/2015,0.1175,0.041065,0.094722986
53,10/8/2015,0.0535,0.041065,0.092257208
54,11/8/2015,0.136,0.056075,0.144723031
55,11/8/2015,0.147,0.056075,0.112915076
56,12/8/2015,0.086,0.082195,0.190808451
57,13/8/2015,0.033,0.06662,0.12416007
