,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean
1,3/1/2015,0.2,0.05001,0.070998376
2,7/1/2015,0.333,0.20159,0.15585219
3,7/1/2015,0.245,0.20159,0.214303562
4,9/1/2015,0.208,0.066835,0.114341641
5,10/1/2015,0.321,0.090565,0.116567465
6,11/1/2015,0.275,0.09829,0.076147161
7,12/1/2015,0.121,0.105633333,0.138111374
8,12/1/2015,0.281,0.105633333,0.086111321
9,12/1/2015,0.213,0.105633333,0.142302834
10,13/1/2015,0.411,0.16768,0.131798755
11,14/1/2015,0.246,0.15109,0.155620247
12,16/1/2015,0.213,0.137886667,0.148790648
13,16/1/2015,0.259,0.137886667,0.12862987
14,17/1/2015,0.424,0.138315,0.191477333
15,20/1/2015,0.342,0.12182,0.189305909
16,23/1/2015,0.142,0.0975,0.136642237
17,25/1/2015,0.175,0.070805,0.051462865
18,28/1/2015,0.10267,0.082846667,0.150667773
19,28/1/2015,0.285,0.082846667,0.103045851
20,29/1/2015,0.4,0.122025,0.140595734
21,30/1/2015,0.127,0.1006,0.137109896
22,1/2/2015,0.174,0.0981,0.107384243
23,1/2/2015,0.164,0.0981,0.099120281
24,3/2/2015,0.244,0.081265,0.152122833
25,3/2/2015,0.226,0.081265,0.086698049
26,4/2/2015,0.2135,0.077345,0.124121049
27,5/2/2015,0.349,0.138345,0.145034034
28,10/2/2015,0.273,0.094475,0.168092308
29,11/2/2015,0.238,0.088525,0.169197362
30,13/2/2015,0.0745,0.07276,0.130968347
31,14/2/2015,0.351,0.13541,0.156028483
32,15/2/2015,0.216,0.130935,0.124887316
33,17/2/2015,0.1405,0.10441,0.099546434
34,17/2/2015,0.2115,0.10441,0.146046906
35,1/3/2015,0.192,0.065743333,0.120030649
36,1/3/2015,0.082,0.065743333,0.112938384
37,1/3/2015,0.1835,0.065743333,0.081188272
38,6/3/2015,0.216,0.07236,0.156230692
39,7/3/2015,0.234,0.10608,0.189579487
40,7/3/2015,0.2135,0.10608,0.119636859
41,8/3/2015,0.298,0.080705,0.126502923
42,10/3/2015,0.079,0.061075,0.136335938
43,11/3/2015,0.238,0.058715,0.179293243
44,12/3/2015,0.311,0.14182,0.134929142
45,14/3/2015,0.181,0.060845,0.188467907
46,14/3/2015,0.144,0.060845,0.120339578
47,15/3/2015,0.196,0.061035,0.108563361
48,17/3/2015,0.147,0.08754,0.200638306
49,18/3/2015,0.2275,0.084165,0.100610284
50,19/3/2015,0.138,0.088515,0.148802989
51,28/3/2015,0.209,0.1299,0.160540768
52,30/3/2015,0.24,0.13879,0.141328227
53,2/4/2015,0.098,0.067033333,0.16165593
54,12/4/2015,0.238,0.11437,0.139637767
55,21/4/2015,0.193,0.10418,0.210837695
56,2/10/2015,0.248,0.10066,0.137170574
57,30/9/2016,0.285,0.04526,0.181313153
58,19/10/2016,0.361,0.144805,0.188325068
59,22/10/2016,0.27,0.15159,0.162541528
60,25/10/2016,0.315,0.061575,0.130337755
61,26/10/2016,0.144,0.012355,0.10001462
62,27/10/2016,0.251,0.06427,0.120282494
63,2/11/2016,0.163,0.028963333,0.055064739
64,2/11/2016,0.081,0.028963333,0.05162203
65,3/11/2016,0.263,0.02509,0.077312935
66,3/11/2016,0.293,0.02509,0.041084909
67,7/11/2016,0.1845,0.10585,0.100231427
68,7/11/2016,0.1205,0.10585,0.098012649
69,8/11/2016,0.452,0.133655,0.116091738
70,9/11/2016,0.148,0.11828,0.129810964
71,9/11/2016,0.1625,0.11828,0.121036557
72,10/11/2016,0.424,0.06464,0.075207981
73,22/11/2016,0.598,0.23862,0.272678122
74,24/11/2016,0.442,0.13641,0.147155141
75,25/11/2016,0.324,0.24559,0.207841585
76,26/11/2016,0.343,0.111755,0.126975868
77,28/11/2016,0.203,0.04618,0.094873219
78,30/11/2016,0.459,0.203813333,0.239266354
79,30/11/2016,0.324,0.203813333,0.173635795
80,2/12/2016,0.1905,0.164025,0.175220092
81,5/12/2016,0.318,0.095615,0.208632931
82,11/12/2016,0.265,0.18478,0.121373994
83,11/12/2016,0.266,0.18478,0.167912831
84,12/12/2016,0.409,0.130165,0.141884602
85,14/12/2016,0.2,0.061755,0.094147642
86,15/12/2016,0.591,0.36187,0.332743758
87,16/12/2016,0.386,0.375346667,0.270184787
88,18/12/2016,0.157,0.14369,0.176464773
89,19/12/2016,0.349,0.093705,0.147243422
90,24/12/2016,0.617,0.33273,0.329409517
91,25/12/2016,0.517,0.29,0.260335835
92,27/12/2016,0.087,0.09463,0.103920485
93,30/12/2016,0.4725,0.20078,0.309510235
94,4/1/2017,0.392,0.090355,0.302138949
95,6/1/2017,0.322,0.133915,0.156053338
96,8/1/2017,0.364,0.183735,0.162174223
97,13/1/2017,0.393,0.09346,0.121995066
98,14/1/2017,0.202,0.07859,0.101440176
99,15/1/2017,0.287,0.105475,0.080499636
100,16/1/2017,0.387,0.131385,0.172026337
101,17/1/2017,0.312,0.096383333,0.122176228
102,20/1/2017,0.686,0.47696,0.488928845
103,22/1/2017,0.717,0.45419,0.507902264
104,23/1/2017,0.41,0.346385,0.364259087
105,24/1/2017,0.504,0.25996,0.471624852
106,25/1/2017,0.55,0.26501,0.327935062
107,25/1/2017,0.441,0.26501,0.124773331
108,27/1/2017,0.648,0.30227,0.374335311
109,27/1/2017,0.7175,0.30227,0.564572378
110,29/1/2017,0.825,0.6736,0.849955948
111,31/1/2017,0.4835,0.21986,0.396075526
112,6/2/2017,0.141,0.095956667,0.152954657
113,7/2/2017,0.399,0.077505,0.119536358
114,8/2/2017,0.202,0.07027,0.081185231
115,11/2/2017,0.029,0.07482,0.094633454
116,16/2/2017,0.393,0.148805,0.150157263
117,16/2/2017,0.279,0.148805,0.171967426
118,20/2/2017,0.069,0.0805,0.118717864
119,21/2/2017,0.283,0.043555,0.106243538
120,21/2/2017,0.38,0.043555,0.067711814
121,22/2/2017,0.1185,0.11498,0.120796365
122,24/2/2017,0.412,0.24815,0.320369017
123,31/3/2017,0.169,0.086835,0.154050017
124,5/4/2017,0.171,0.03642,0.160045065
125,22/9/2017,0.244,0.053645,0.168963253
126,19/10/2017,0.285,0.00756,0.158418799
127,25/10/2017,0.227,0.12844,0.140076042
128,8/12/2017,0.361,0.129055,0.171994665
129,8/12/2017,0.438,0.129055,0.115937228
130,9/12/2017,0.206,0.043885,0.084450802
131,10/12/2017,0.213,0.05196,0.090236476
132,14/12/2017,0.175,0.06833,0.073947043
133,15/12/2017,0.265,0.043215,0.09521372
134,21/12/2017,0.0895,0.097205,0.138241797
135,23/12/2017,0.159,0.07179,0.101948585
136,24/12/2017,0.318,0.101635,0.096898333
137,24/12/2017,0.392,0.101635,0.066898724
138,25/12/2017,0.268,0.09372,0.085993326
139,26/12/2017,0.384,0.08194,0.080013934
140,26/12/2017,0.2485,0.08194,0.082752227
141,29/12/2017,0.443,0.07914,0.096830813
142,30/12/2017,0.163,0.08973,0.065194221
143,3/10/2018,0.0805,0.054913333,0.109514446
144,15/10/2018,0.347,0.136935,0.140618247
145,19/10/2018,0.197,0.059663333,0.110948237
146,19/10/2018,0.055,0.059663333,0.094406065
147,19/10/2018,0.269,0.059663333,0.11312954
148,7/11/2018,0.381,0.057495,0.129384778
149,10/12/2018,0.28,0.071523333,0.092814283
150,12/12/2018,0.305,0.072345,0.147759166
151,17/12/2018,0.196,0.09973,0.08794015
152,20/12/2018,0.462,0.12238,0.063508168
153,20/12/2018,0.356,0.12238,0.104213091
154,23/12/2018,0.505,0.145925,0.164292315
155,24/12/2018,0.093,0.128035,0.153597788
156,27/12/2018,0.374,0.11825,0.16820793
157,28/12/2018,0.216,0.060745,0.087582701
158,29/12/2018,0.26,0.089745,0.105590176
159,31/12/2018,0.075,0.081355,0.09496845
160,3/1/2019,0.314,0.055705,0.087690401
161,5/1/2019,0.566,0.20303,0.23023873
162,12/1/2019,0.38,0.162795,0.107668333
163,30/1/2019,0.238,0.07646,0.18036107
164,1/3/2019,0.24,0.072155,0.131301646
165,2/3/2019,0.162,0.07622,0.113769614
166,5/3/2019,0.045,0.051525,0.110600457
167,21/3/2019,0.122,0.07723,0.121836577
168,22/3/2019,0.224,0.031885,0.14391354
169,24/3/2019,0.231,0.08571,0.176110896
170,25/3/2019,0.171,0.06165,0.111441591
171,5/4/2019,0.259,0.10059,0.183543653
