,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean
1,2/1/2015,0.357,0.07483,0.026278604
2,8/1/2015,0.1225,0.169756667,0.041339048
3,10/1/2015,0.54367,0.15879,0.246818286
4,29/1/2015,0.116,0.141555,0.061002747
5,31/1/2015,0.159,0.166365,0.06967572
6,1/2/2015,0.471,0.186395,0.075302741
7,6/2/2015,0.556,0.128355,0.064796224
8,17/2/2015,0.4805,0.148695,0.069756922
9,20/2/2015,0.374,0.223685,0.187418825
10,20/2/2015,0.377,0.223685,0.23921544
11,22/2/2015,0.5395,0.17673,0.113541954
12,24/2/2015,0.514,0.11903,0.041399826
13,28/2/2015,0.27,0.10286,0.038233847
14,2/3/2015,0.219,0.176915,0.096932952
15,2/3/2015,0.208,0.176915,0.104556682
16,5/3/2015,0.2815,0.066,0.046678783
17,6/3/2015,0.142,0.123815,0.040395612
18,7/3/2015,0.27,0.16268,0.03954462
19,7/3/2015,0.236,0.16268,0.036458197
20,26/3/2015,0.115,0.13116,0.045322065
21,29/3/2015,0.104,0.111306667,0.036900821
22,29/3/2015,0.144,0.111306667,0.025644583
23,30/3/2015,0.193,0.2052,0.203978484
24,1/4/2015,0.149,0.129185,0.047527819
25,2/4/2015,0.155,0.11968,0.057766985
26,2/4/2015,0.242,0.11968,0.043226706
27,3/4/2015,0.201,0.178495,0.128123425
28,3/4/2015,0.238,0.178495,0.106371904
29,6/4/2015,0.323,0.087815,0.084064264
30,6/4/2015,0.196,0.087815,0.050393731
31,7/4/2015,0.312,0.23003,0.066740494
32,9/4/2015,0.145,0.126635,0.072521944
33,11/4/2015,0.344,0.15361,0.094283563
34,12/4/2015,0.146,0.164535,0.079158531
35,13/4/2015,0.1925,0.134745,0.076994835
36,17/4/2015,0.135,0.14862,0.030491849
37,18/4/2015,0.134,0.105425,0.021572929
38,19/4/2015,0.145,0.1018,0.053723934
39,20/4/2015,0.1925,0.069845,0.083417802
40,23/4/2015,0.128,0.097765,0.044280586
41,23/4/2015,0.119,0.097765,0.042182809
42,26/4/2015,0.1325,0.124783333,0.071531278
43,26/4/2015,0.226,0.124783333,0.072506745
44,4/5/2015,0.155,0.106845,0.058360543
45,4/5/2015,0.305,0.106845,0.054902189
46,5/5/2015,0.122,0.07542,0.119408518
47,8/5/2015,0.18,0.096155,0.046983662
48,8/5/2015,0.1205,0.096155,0.039108986
49,13/5/2015,0.1275,0.06816,0.04287912
50,20/5/2015,0.206,0.12527,0.040650454
51,31/5/2015,0.24,0.173655,0.082982156
52,7/6/2015,0.072,0.07071,0.057773594
53,11/6/2015,0.051,0.06929,0.038262797
54,15/6/2015,0.094,0.050425,0.065252167
55,16/6/2015,0.106,0.110235,0.093311995
56,4/9/2015,0.109,0.057795,0.137309188
57,6/9/2015,0.089,0.032655,0.036169418
58,16/9/2015,0.155,0.069245,0.103916572
