,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean
1,3/1/2015,-0.028,0.079585,0.040528074
2,6/1/2016,0.3055,0.25979,0.177371379
3,17/1/2016,0.091,0.098275,0.112590275
4,17/1/2016,0.183,0.098275,0.179607721
5,18/1/2016,0.163,0.17091,0.192424829
6,26/1/2016,0.3315,0.27274,0.387564154
7,26/1/2016,0.335,0.27274,0.31685141
8,31/1/2016,0.338,0.28707,0.245187943
9,12/2/2016,0.326,0.23832,0.165494947
10,18/2/2016,0.293,0.203,0.241158281
11,1/3/2016,0.44175,0.378,0.484196105
12,8/3/2016,0.424,0.36462,0.497096613
13,25/3/2016,0.368,0.28838,0.360645003
14,31/3/2016,0.57,0.4765,0.52088866
15,4/4/2016,0.1225,0.17139,0.357922784
16,7/7/2016,0.075,0.09183,0.047763884
17,9/7/2016,-0.005,0.100645,0.050296034
18,6/8/2016,0.027,0.09893,0.088252078
19,17/5/2018,0.1,0.168225,0.134847304
20,31/5/2018,0.114,0.15729,0.104708674
21,2/6/2018,-0.001,0.11141,0.100704356
22,23/6/2018,0.11,0.14446,0.110639807
23,4/7/2018,0.091,0.11042,0.078373548
24,17/7/2018,0.323,0.246,0.074691393
25,11/8/2018,0.0345,0.06821,0.100939693
26,25/8/2018,0.175,0.1561,0.138842202
27,1/1/2019,-0.006,0.03411,0.096080972
28,3/1/2019,0.031,0.04344,0.084045574
29,12/1/2019,0.356,0.34471,0.168031506
30,1/5/2019,0.408,0.1758,0.169329593
31,22/5/2019,0.1545,0.14825,0.137980674
32,29/5/2019,0.466,0.409,0.220802104
33,5/6/2019,0.09667,0.1289,0.110574708
34,26/6/2019,0.004,0.04824,0.056817669
35,26/8/2019,0.075,0.12575,0.138347767
36,22/10/2019,0.281,0.25518,0.199265132
37,29/10/2019,0.324,0.34525,0.142883944
38,7/11/2019,0.202,0.23018,0.14701966
39,16/11/2019,0.497,0.36906,0.265382031
40,18/11/2019,0.21,0.25244,0.235153349
41,23/11/2019,0.286,0.261,0.200085292
42,30/11/2019,0.253,0.21275,0.11444668
43,5/12/2019,0.119,0.177285,0.115947822
44,9/12/2019,0.175,0.14642,0.133345715
45,28/1/2020,0.273,0.24145,0.192393274
46,6/2/2020,0.249,0.14401,0.195462683
47,7/2/2020,0.2925,0.26116,0.369787057
48,9/2/2020,0.184,0.16868,0.229871578
49,11/2/2020,0.166,0.173885,0.168253778
50,11/2/2020,0.18,0.173885,0.214977789
51,18/2/2020,0.084,0.195345,0.109509801
52,5/3/2020,-0.012,0.1386,0.163962976
53,12/3/2020,0.463,0.3885,0.418177381
54,17/3/2020,0.446,0.34639,0.404708585
55,25/3/2020,0.684,0.45,0.678216028
56,28/3/2020,0.478,0.3885,0.486744578
57,2/4/2020,0.055,0.04652,0.118719596
58,20/5/2020,0.041,0.07838,0.084432344
59,7/6/2020,0.126,0.13725,0.061687885
60,13/6/2020,0.172,0.10518,0.090796005
61,18/6/2020,0.223,0.22036,0.142208191
62,13/7/2020,0.207,0.13416,0.098298842
63,16/7/2020,0.029,0.09976,0.105419006
64,31/7/2020,0.206,0.10865,0.147008857
65,12/8/2020,0.031,0.15934,0.069479854
66,31/8/2020,0.154,0.12377,0.138203281
67,13/9/2020,0.213,0.177,0.098860388
68,27/9/2020,0.188,0.18085,0.058520507
69,6/10/2020,0.328,0.37677,0.082134987
70,2/11/2020,0.132,0.165065,0.048627377
71,7/11/2020,0.326,0.30075,0.289609057
72,23/10/2021,0.337,0.3225,0.16470324
73,17/11/2021,0.367,0.31102,0.201410786
74,19/11/2021,0.199,0.21917,0.136215787
75,28/11/2021,0.16,0.15475,0.094995725
76,28/11/2021,0.124,0.15475,0.095832652
77,1/12/2021,0.293,0.27356,0.242967377
78,19/12/2021,0.331,0.329125,0.241163441
79,19/12/2021,0.378,0.329125,0.19944615
80,23/12/2021,0.288,0.1895,0.186605521
81,4/1/2022,0.218,0.31493,0.155181092
82,4/1/2022,0.178,0.31493,0.171467673
83,29/1/2022,0.193,0.052375,0.199634629
84,31/1/2022,0.016,0.01103,0.102470965
85,31/1/2022,0.1655,0.01103,0.107067212
86,2/2/2022,0.282,0.14787,0.20645997
87,21/2/2022,0.132,0.05057,0.134232927
88,25/2/2022,0.426,0.20767,0.315536858
89,11/3/2022,0.263,0.201,0.162951604
90,3/5/2022,0.087,0.00814,0.08316145
91,8/5/2022,0.112,0.15431,0.134751012
92,10/5/2022,0.385,0.29658,0.261700035
93,12/5/2022,0.278,0.149,0.128557412
94,8/6/2022,0.314,0.23443,0.200521302
95,10/6/2022,0.297,0.14779,0.136103576
96,22/6/2022,0.228,0.01582,0.134280992
97,29/7/2022,0.104,0.07863,0.087301667
98,7/8/2022,0.11,0.053705,0.092184685
99,30/8/2022,0.033,0.02848,0.128006272
100,3/9/2022,0.36,0.23467,0.183335368
101,8/9/2022,0.1165,0.07605,0.154386021
102,28/3/2023,0.114,0.145535,0.179225573
103,9/4/2023,0.327,0.19364,0.120686924
104,28/4/2023,0.113,0.08898,0.118016881
105,1/5/2023,0.053,0.11626,0.090097515
106,4/5/2023,0.06,0.050765,0.057262596
107,18/5/2023,0.09,0.1084,0.106995836
108,3/6/2023,0.226,0.169,0.221666491
109,13/6/2023,0.027,0.0326,0.071940338
110,20/6/2023,0.194,0.065255,0.075561238
111,29/6/2023,0.107,0.02933,0.066285436
112,16/7/2023,0.362,0.183,0.098194674
113,17/7/2023,0.198,0.1695,0.112654491
114,23/7/2023,0.206,0.0325,0.059815089
115,5/8/2023,0.083,0.10519,0.100271806
