,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean,Modif
1,27/1/2015,0.293,0.312,0.081307808,0
2,10/5/2015,0.124,0.1234,0.052511511,0
3,14/5/2015,0.285,0.22133,0.112529266,0
4,20/5/2015,0.15,0.132855,0.076885283,0
5,21/5/2015,0.185,0.09935,0.05628764,0
6,22/5/2015,0.1125,0.064195,0.071218336,0
7,24/5/2015,0.132,0.070205,0.063802594,0
8,28/5/2015,0.23,0.167835,0.064531161,0
9,29/5/2015,0.051,0.05885,0.085163577,0
10,4/6/2015,0.196,0.123625,0.070460665,0
11,6/6/2015,0.132,0.07111,0.062144345,0
12,12/6/2015,0.094,0.09028,0.080224216,0
13,13/6/2015,0.074,0.07799,0.072025937,0
14,14/6/2015,0.154,0.05101,0.06396232,0
15,15/6/2015,0.243,0.16635,0.131935663,0
16,19/6/2015,0.154,0.13023,0.108695034,0
17,20/6/2015,0.145,0.10423,0.084210437,0
18,21/6/2015,0.14,0.081665,0.062223977,0
19,23/6/2015,0.193,0.19993,0.131866788,0
20,25/6/2015,0.126,0.101665,0.128427209,0
21,30/6/2015,0.115,0.04123,0.063959125,0
22,12/7/2015,0.073,0.06086,0.046419064,0
23,14/7/2015,0.314,0.23712,0.058844248,0
24,22/7/2015,0.169,0.09546,0.104139415,0
25,23/7/2015,0.117,0.08847,0.0695497,0
26,24/7/2015,0.191,0.1559,0.106072986,0
27,30/7/2015,0.167,0.11451,0.121766931,0
28,1/8/2015,0.21,0.10993,0.11671195,0
29,7/8/2015,0.134,0.087725,0.037876079,0
30,17/9/2015,0.293,0.22625,0.113994991,0
31,24/9/2015,0.215,0.2132,0.183154401,0
32,28/9/2015,0.204,0.152785,0.099602218,0
33,29/9/2015,0.172,0.184925,0.096693531,0
34,11/10/2015,0.004,0.090125,0.06041918,0
35,18/11/2015,0.077,0.143005,0.10970957,0
36,25/11/2015,0.11,0.1725,0.062079049,0
37,9/12/2015,0.092,0.16062,0.098323673,0
38,13/12/2015,0.1575,0.15229,0.03511624,0
