,date,AOD_550_maiac_mean,AOD_550_AER_mean
1,23/2/2015,0.11625,0.095901829
2,4/4/2015,0.16325,0.178332921
3,8/4/2015,0.14625,0.120235061
4,18/4/2015,0.1825,0.200071366
5,20/4/2015,0.074,0.188110515
6,27/4/2015,0.07125,0.139625121
7,28/4/2015,0.141,0.218011449
8,16/5/2015,0.0765,0.12757614
9,17/5/2015,0.193,0.124267126
10,20/5/2015,0.17775,0.181884125
11,21/5/2015,0.068,0.12093832
12,22/5/2015,0.04575,0.10559559
13,29/5/2015,0.154,0.076462883
14,4/6/2015,0.145625,0.155697248
15,5/6/2015,0.05725,0.118825668
16,6/6/2015,0.043,0.124211397
17,8/6/2015,0.0485,0.127170489
18,9/6/2015,0.1165,0.199970691
19,10/6/2015,0.06425,0.096281507
20,11/6/2015,0.022915,0.083213617
21,13/6/2015,0.03575,0.076805932
22,14/6/2015,0.07275,0.077548092
23,18/6/2015,0.103,0.122863936
24,21/6/2015,0.055375,0.102056584
25,22/6/2015,0.038625,0.103175526
26,23/6/2015,0.0235,0.075570015
27,27/6/2015,0.04375,0.087088952
28,28/6/2015,0.047,0.059924596
29,30/6/2015,0.03075,0.075417326
30,10/7/2015,0.08125,0.098833959
31,14/7/2015,0.084,0.065405965
32,19/7/2015,0.045625,0.080670994
33,24/7/2015,0.09475,0.154257489
34,26/7/2015,0.122875,0.140712906
35,27/7/2015,0.05775,0.091153609
36,28/7/2015,0.166875,0.16702864
37,29/7/2015,0.1195,0.305255815
38,30/7/2015,0.057625,0.153294115
39,31/7/2015,0.100375,0.177744746
40,1/8/2015,0.101,0.200007146
41,2/8/2015,0.054,0.103912531
42,3/8/2015,0.03275,0.092500131
43,4/8/2015,0.08625,0.192665719
44,5/8/2015,0.1335,0.17380647
45,7/8/2015,0.07575,0.176409196
46,8/8/2015,0.0735,0.171838461
47,9/8/2015,0.16275,0.21082885
48,10/8/2015,0.038125,0.093490097
49,11/8/2015,0.041625,0.128819054
50,12/8/2015,0.0725,0.188663258
51,13/8/2015,0.06225,0.13734586
52,14/8/2015,0.065125,0.135943031
53,15/8/2015,0.025,0.084162033
54,16/8/2015,0.10725,0.116995528
55,17/8/2015,0.05525,0.116350538
56,19/8/2015,0.113875,0.217279787
57,22/8/2015,0.1795,0.260853897
58,26/8/2015,0.27025,0.353160441
59,6/10/2015,0.22433,0.283336053
60,7/10/2015,0.10075,0.150089342
61,14/10/2015,0.3945,0.326123456
62,15/10/2015,0.137375,0.209330599
63,17/10/2015,0.39,0.493449817
64,19/10/2015,0.3425,0.455181257
65,20/10/2015,0.311,0.394831059
66,30/10/2015,0.064,0.077688429
67,22/11/2015,0.154,0.139739643
68,27/11/2015,0.1355,0.150789083
69,19/12/2015,0.12475,0.149655027
70,7/1/2016,0.0965,0.129108265
71,8/2/2016,0.10575,0.109390056
72,12/2/2016,0.14075,0.176862499
73,7/3/2016,0.07825,0.105993631
74,14/3/2016,0.1245,0.148666627
75,18/3/2016,0.05825,0.103280814
76,19/3/2016,0.086375,0.136178425
77,23/3/2016,0.2295,0.189316175
78,2/4/2016,0.09475,0.165992909
79,3/4/2016,0.1005,0.152805175
80,5/4/2016,0.0465,0.076736488
81,6/4/2016,0.1565,0.231440158
82,7/4/2016,0.05925,0.109971379
83,8/4/2016,0.209,0.236477014
84,9/4/2016,0.097875,0.120988883
85,10/4/2016,0.172,0.221330955
86,12/4/2016,0.074,0.15362177
87,13/4/2016,0.12825,0.175170989
88,14/4/2016,0.03275,0.076790165
89,15/4/2016,0.10625,0.160655311
90,16/4/2016,0.119,0.183189033
