,date,AOD_550_maiac_mean,AOD_550_AER_mean
1,2/1/2015,0.062375,0.026808794
2,3/1/2015,0.128625,0.03947868
3,5/1/2015,0.13425,0.05373326
4,8/1/2015,0.17525,0.053382677
5,9/1/2015,0.0785,0.032148166
6,10/1/2015,0.196875,0.268686859
7,12/1/2015,0.168625,0.09085172
8,14/1/2015,0.333,0.271559519
9,20/1/2015,0.195,0.085416724
10,21/1/2015,0.10775,0.043998765
11,29/1/2015,0.14275,0.063483156
12,30/1/2015,0.08375,0.027101852
13,31/1/2015,0.1685,0.065305987
14,1/2/2015,0.1635,0.079094574
15,2/2/2015,0.113,0.05524047
16,6/2/2015,0.114,0.061821231
17,7/2/2015,0.16825,0.05392737
18,8/2/2015,0.11825,0.037142049
19,9/2/2015,0.14325,0.05289399
20,11/2/2015,0.157875,0.058816483
21,12/2/2015,0.181625,0.072218682
22,17/2/2015,0.141125,0.084966362
23,20/2/2015,0.2205,0.217025903
24,22/2/2015,0.172875,0.121604605
25,23/2/2015,0.195625,0.173604176
26,24/2/2015,0.108,0.046311278
27,27/2/2015,0.224,0.07401455
28,28/2/2015,0.11475,0.038233847
29,2/3/2015,0.18125,0.100744817
30,5/3/2015,0.0445,0.045448493
31,6/3/2015,0.124375,0.043011047
32,7/3/2015,0.154125,0.038001408
33,23/3/2015,0.5005,0.305340792
34,26/3/2015,0.127,0.045322065
35,28/3/2015,0.065125,0.036214521
36,29/3/2015,0.106333333,0.037108748
37,31/3/2015,0.2335,0.086198543
38,1/4/2015,0.13175,0.05034959
39,2/4/2015,0.11625,0.050496845
40,3/4/2015,0.17925,0.117247664
41,5/4/2015,0.1405,0.122378333
42,6/4/2015,0.07775,0.067228997
43,7/4/2015,0.22225,0.066740494
44,8/4/2015,0.151375,0.056135658
45,9/4/2015,0.119875,0.071852571
46,11/4/2015,0.14475,0.094283563
47,12/4/2015,0.12375,0.078943525
48,13/4/2015,0.120375,0.086060088
49,17/4/2015,0.14525,0.030491849
50,18/4/2015,0.098625,0.029851493
51,19/4/2015,0.103875,0.043669446
52,20/4/2015,0.062375,0.072169644
53,23/4/2015,0.093125,0.043231698
54,26/4/2015,0.128333333,0.063292167
55,28/4/2015,0.1925,0.103787568
56,3/5/2015,0.08829,0.024318366
57,4/5/2015,0.101125,0.056631366
58,5/5/2015,0.0755,0.119408518
59,6/5/2015,0.14025,0.058698001
60,7/5/2015,0.09325,0.036873717
61,8/5/2015,0.084,0.04302051
62,10/5/2015,0.181,0.101019096
63,12/5/2015,0.089625,0.068856723
64,13/5/2015,0.0615,0.04287912
65,15/5/2015,0.29,0.178407292
66,16/5/2015,0.12,0.087461493
67,18/5/2015,0.153,0.093985722
68,19/5/2015,0.288,0.112269133
69,20/5/2015,0.1245,0.040650454
70,28/5/2015,0.093375,0.066701899
71,31/5/2015,0.1725,0.106970293
72,3/6/2015,0.031,0.052291897
73,7/6/2015,0.0555,0.057773594
74,8/6/2015,0.05675,0.055467924
75,11/6/2015,0.064875,0.036338568
76,12/6/2015,0.074875,0.053596575
77,14/6/2015,0.06975,0.047838371
78,15/6/2015,0.045625,0.061591216
79,16/6/2015,0.101375,0.098884259
80,17/6/2015,0.077,0.098266116
81,18/6/2015,0.081625,0.073273787
82,20/6/2015,0.0985,0.045348484
83,21/6/2015,0.2695,0.104527707
84,23/6/2015,0.07225,0.053977395
85,24/6/2015,0.05725,0.052299502
86,26/6/2015,0.18475,0.172959254
87,2/7/2015,0.063,0.050639662
88,4/7/2015,0.10375,0.099717344
89,7/7/2015,0.07925,0.215436991
90,8/7/2015,0.093,0.034220344
91,14/7/2015,0.08375,0.049265692
92,15/7/2015,0.044666667,0.043459886
93,17/7/2015,0.055,0.045215219
94,21/7/2015,0.1515,0.106783715
95,22/7/2015,0.08675,0.05767016
96,24/7/2015,0.088333333,0.086774941
97,3/8/2015,0.088,0.073978161
98,15/8/2015,0.1515,0.06824881
99,21/8/2015,0.039,0.056351579
100,24/8/2015,0.05425,0.06250768
101,27/8/2015,0.04425,0.053943066
102,28/8/2015,0.184,0.152202277
103,31/8/2015,0.0725,0.097285206
104,1/9/2015,0.09525,0.109009468
105,4/9/2015,0.0715,0.125962125
106,5/9/2015,0.095,0.180364633
107,6/9/2015,0.032375,0.041316817
108,8/9/2015,0.0755,0.112868024
109,11/9/2015,0.0325,0.063293577
110,12/9/2015,0.05375,0.075476663
111,13/9/2015,0.07025,0.073013526
112,15/9/2015,0.11575,0.15909075
113,16/9/2015,0.0615,0.098151273
114,17/9/2015,0.056583333,0.071419904
115,18/9/2015,0.041875,0.120058863
116,19/9/2015,0.08525,0.096363649
117,27/9/2015,0.0795,0.075648416
118,29/9/2015,0.04175,0.053637307
119,30/9/2015,0.03125,0.047035966
120,3/10/2015,0.100833333,0.064593137
121,6/10/2015,0.21125,0.136705538
122,7/10/2015,0.06325,0.10009667
123,8/10/2015,0.03375,0.062157274
124,13/10/2015,0.09625,0.075770248
125,16/10/2015,0.068375,0.067820696
126,17/10/2015,0.070125,0.053688991
127,18/10/2015,0.1085,0.038981979
128,20/10/2015,0.1415,0.054496209
129,22/10/2015,0.14725,0.238682768
130,23/10/2015,0.12575,0.120179075
131,25/10/2015,0.19125,0.199222355
132,27/10/2015,0.1535,0.224068268
133,28/10/2015,0.0915,0.05573197
134,4/11/2015,0.093,0.068648382
135,5/11/2015,0.21,0.094801557
136,6/11/2015,0.15875,0.102651319
137,7/11/2015,0.0695,0.065579454
138,8/11/2015,0.1905,0.097865065
139,11/11/2015,0.0115,0.056038143
140,14/11/2015,0.06,0.081344877
141,15/11/2015,0.080625,0.045659623
142,16/11/2015,0.07825,0.066213679
143,20/11/2015,0.095083333,0.070878216
144,21/11/2015,0.073125,0.041699182
145,22/11/2015,0.26625,0.229059624
146,24/11/2015,0.098333333,0.061083805
147,25/11/2015,0.0415,0.072294304
148,28/11/2015,0.327,0.057559999
149,29/11/2015,0.086375,0.048447585
150,6/12/2015,0.078,0.055437318
151,7/12/2015,0.04,0.076671097
152,8/12/2015,0.1025,0.063693168
153,9/12/2015,0.195,0.105923848
154,10/12/2015,0.07975,0.069690881
155,11/12/2015,0.0855,0.093504933
156,15/12/2015,0.212,0.152490022
157,16/12/2015,0.09275,0.047797702
158,18/12/2015,0.07875,0.061822747
159,19/12/2015,0.05575,0.066351921
160,20/12/2015,0.087875,0.057250714
161,21/12/2015,0.05525,0.064525079
162,24/12/2015,0.124125,0.034012636
163,25/12/2015,0.111125,0.030719168
164,26/12/2015,0.12225,0.048554497
