,date,AOD_550_maiac_mean,AOD_550_AER_mean
1,3/1/2015,0.10075,0.040528074
2,6/1/2016,0.264,0.177371379
3,12/1/2016,0.17475,0.291571895
4,17/1/2016,0.10975,0.146098998
5,18/1/2016,0.147,0.192424829
6,26/1/2016,0.26075,0.387564154
7,12/2/2016,0.248,0.165494947
8,8/3/2016,0.37,0.497096613
9,25/3/2016,0.295,0.360645003
10,4/4/2016,0.1555,0.357922784
11,14/4/2016,0.189,0.131292832
12,15/4/2016,0.18025,0.205294786
13,21/4/2016,0.075,0.112742925
14,25/4/2016,0.1985,0.208251513
15,9/7/2016,0.10067,0.050296034
16,6/8/2016,0.04375,0.08784673
17,23/4/2018,0.096,0.146652112
18,17/5/2018,0.158,0.134341833
19,2/6/2018,0.0565,0.102090075
20,22/6/2018,0.221,0.087943827
21,23/6/2018,0.13975,0.110639807
22,25/7/2018,0.074375,0.052109887
23,6/8/2018,0.0135,0.165583123
24,11/8/2018,0.07475,0.093686807
25,16/8/2018,0.14375,0.064038048
26,28/8/2018,0.182,0.09058887
27,30/8/2018,0.224,0.138884984
28,16/12/2018,0.13725,0.138155094
29,26/12/2018,0.109,0.126521275
30,31/12/2018,0.121,0.107998985
31,1/1/2019,0.0355,0.096080972
32,2/1/2019,0.043,0.077197416
33,3/1/2019,0.062,0.085344213
34,8/1/2019,0.214,0.225646246
35,12/1/2019,0.358,0.168031506
36,24/1/2019,0.1675,0.153223704
37,23/4/2019,0.2385,0.231127647
38,5/6/2019,0.164,0.111241217
39,26/6/2019,0.05075,0.056817669
40,3/7/2019,0.226,0.117848529
41,6/7/2019,0.086,0.100599155
42,27/7/2019,0.135,0.137492131
43,4/8/2019,0.11325,0.0494183
44,7/8/2019,0.12433,0.065952159
45,27/8/2019,0.199,0.083947679
46,1/10/2019,0.17675,0.165725081
47,23/10/2019,0.2455,0.161777446
48,24/11/2019,0.21567,0.117162566
49,1/12/2019,0.15625,0.092110903
50,2/12/2019,0.197,0.111188441
51,5/12/2019,0.17675,0.115262402
52,9/12/2019,0.1655,0.094652453
53,19/12/2019,0.1415,0.080407162
54,29/1/2020,0.241,0.190823581
55,6/2/2020,0.1315,0.195462683
56,7/2/2020,0.26725,0.369058596
