,date,AOD_550_maiac_mean,AOD_550_AER_mean,caract_AER
879,9/3/2021,0.1865,0.022646095,baja
707,3/4/2020,0.20833,0.026329602,baja
676,18/10/2019,0.414,0.027298919,baja
4,26/2/2015,0.2135,0.027785734,baja
551,30/3/2019,0.209,0.029166192,baja
706,2/4/2020,0.1695,0.029779214,baja
913,28/5/2021,0.02725,0.029832753,baja
269,13/4/2017,0.071,0.029873047,baja
566,16/5/2019,0.14025,0.030370462,baja
673,10/10/2019,0.11975,0.031234411,baja
376,2/10/2017,0.071625,0.031260423,baja
418,18/4/2018,0.132,0.031328738,baja
737,24/5/2020,0.06725,0.031749912,baja
26,27/5/2015,0.121,0.031999372,baja
880,10/3/2021,0.07425,0.032067985,baja
878,1/3/2021,0.214,0.032108933,baja
504,2/9/2018,0.114,0.032739349,baja
415,15/4/2018,0.157625,0.032769309,baja
712,12/4/2020,0.086875,0.033051959,baja
671,8/10/2019,0.0395,0.033161189,baja
690,25/11/2019,0.1435,0.033458384,baja
414,14/4/2018,0.116125,0.033749316,baja
84,8/9/2015,0.161,0.033802409,baja
81,6/8/2015,0.05625,0.033846455,baja
544,23/2/2019,0.1795,0.034287847,baja
749,9/6/2020,0.08125,0.034411241,baja
693,24/12/2019,0.203,0.034950989,baja
64,19/7/2015,0.038375,0.035237526,baja
247,12/10/2016,0.1595,0.03538563,baja
887,20/4/2021,0.154665,0.035482944,baja
679,23/10/2019,0.182,0.035610122,baja
142,29/4/2016,0.069625,0.035816273,baja
374,30/9/2017,0.117,0.035876226,baja
916,2/6/2021,0.04175,0.035984385,baja
628,3/8/2019,0.09175,0.036384352,baja
270,15/4/2017,0.188,0.036392894,baja
298,15/6/2017,0.04725,0.036718171,baja
138,25/4/2016,0.058375,0.036954069,baja
727,11/5/2020,0.073875,0.037120747,baja
377,3/10/2017,0.08425,0.03749468,baja
552,7/4/2019,0.115,0.03755041,baja
539,9/12/2018,0.096875,0.037569614,baja
3,19/2/2015,0.1705,0.03771886,baja
264,21/12/2016,0.186,0.037856974,baja
490,5/8/2018,0.065,0.038037729,baja
166,29/5/2016,0.1285,0.038061166,baja
705,25/3/2020,0.17875,0.038084188,baja
777,9/7/2020,0.17575,0.038573026,baja
416,16/4/2018,0.149375,0.038668175,baja
769,30/6/2020,0.060625,0.039431237,baja
440,20/5/2018,0.110375,0.039488504,baja
399,13/12/2017,0.079,0.039691756,baja
373,29/9/2017,0.091375,0.039808789,baja
593,21/6/2019,0.072,0.039969274,baja
554,9/4/2019,0.11675,0.040110845,baja
719,27/4/2020,0.1315,0.040300116,baja
432,12/5/2018,0.0545,0.040343304,baja
413,12/4/2018,0.100125,0.040413232,baja
501,24/8/2018,0.0705,0.040488796,baja
114,13/12/2015,0.16321,0.040678045,baja
375,1/10/2017,0.11125,0.041135953,baja
780,12/7/2020,0.06575,0.041294606,baja
433,13/5/2018,0.18325,0.041326802,baja
937,2/7/2021,0.046375,0.041369373,baja
619,25/7/2019,0.1595,0.041474677,baja
480,23/7/2018,0.14275,0.041527856,baja
460,21/6/2018,0.091,0.041953001,baja
8,29/4/2015,0.147,0.042145692,baja
678,21/10/2019,0.19167,0.042182683,baja
192,9/7/2016,0.1195,0.042202923,baja
750,10/6/2020,0.083125,0.042205502,baja
487,30/7/2018,0.06375,0.042427161,baja
884,17/4/2021,0.18133,0.042838643,baja
545,28/2/2019,0.2215,0.043181551,baja
672,9/10/2019,0.16375,0.043186769,baja
137,24/4/2016,0.0695,0.043294097,baja
961,6/8/2021,0.0595,0.043591616,baja
57,7/7/2015,0.06975,0.043742667,baja
419,19/4/2018,0.06575,0.044413533,baja
129,17/3/2016,0.13575,0.044462309,baja
425,30/4/2018,0.102,0.044545378,baja
310,27/6/2017,0.094,0.044558455,baja
486,29/7/2018,0.06975,0.044574761,baja
550,28/3/2019,0.233,0.044600442,baja
417,17/4/2018,0.20875,0.04463947,baja
725,9/5/2020,0.10625,0.044663052,baja
300,17/6/2017,0.11625,0.044808791,baja
390,14/11/2017,0.14233,0.04493077,baja
608,7/7/2019,0.08325,0.045102747,baja
346,13/8/2017,0.072125,0.045109158,baja
320,11/7/2017,0.05375,0.045282623,baja
119,22/1/2016,0.313,0.0453755,baja
128,16/3/2016,0.143625,0.045436786,baja
1019,21/11/2021,0.12179,0.045584375,baja
936,1/7/2021,0.056125,0.045694971,baja
724,8/5/2020,0.129,0.045843573,baja
127,14/3/2016,0.12333,0.045880845,baja
1138,18/8/2022,0.06175,0.04611563,baja
6,5/4/2015,0.1765,0.046405886,baja
472,7/7/2018,0.123375,0.04655501,baja
224,26/8/2016,0.103915,0.046620726,baja
938,3/7/2021,0.0575,0.046697221,baja
299,16/6/2017,0.053,0.046932336,baja
451,31/5/2018,0.069875,0.046961669,baja
580,4/6/2019,0.08175,0.047077004,baja
784,16/7/2020,0.104,0.047124646,baja
766,27/6/2020,0.0655,0.047249028,baja
412,11/4/2018,0.17425,0.047417916,baja
226,28/8/2016,0.13375,0.047558907,baja
500,23/8/2018,0.11475,0.047588941,baja
574,28/5/2019,0.064,0.047589424,baja
267,21/3/2017,0.254,0.04759007,baja
188,30/6/2016,0.11475,0.047598541,baja
163,26/5/2016,0.07075,0.047901288,baja
135,27/3/2016,0.208625,0.047953263,baja
265,22/12/2016,0.22,0.048363531,baja
720,28/4/2020,0.1675,0.048374695,baja
875,12/2/2021,0.37,0.04844335,baja
694,25/12/2019,0.1305,0.048463929,baja
130,18/3/2016,0.1095,0.048557302,baja
398,12/12/2017,0.1585,0.048561228,baja
36,7/6/2015,0.068375,0.048591605,baja
684,30/10/2019,0.12271,0.048610641,baja
573,27/5/2019,0.0795,0.048629977,baja
856,14/11/2020,0.11775,0.048664863,baja
776,8/7/2020,0.06825,0.048975558,baja
34,5/6/2015,0.059875,0.048984875,baja
1131,11/8/2022,0.03825,0.049004073,baja
1,28/1/2015,0.1095,0.049260236,baja
865,30/11/2020,0.095,0.049324227,baja
249,28/10/2016,0.19475,0.049370152,baja
581,5/6/2019,0.0625,0.049569416,baja
359,30/8/2017,0.1645,0.049600639,baja
624,30/7/2019,0.090875,0.049740658,baja
435,15/5/2018,0.061,0.049760927,baja
609,8/7/2019,0.077875,0.049939214,baja
141,28/4/2016,0.097375,0.050122948,baja
289,31/5/2017,0.090375,0.050193382,baja
885,18/4/2021,0.07175,0.050231165,baja
145,2/5/2016,0.12975,0.050310976,baja
561,4/5/2019,0.0935,0.05044815,baja
597,25/6/2019,0.05825,0.050477612,baja
189,1/7/2016,0.1515,0.050505485,baja
65,20/7/2015,0.061,0.050528817,baja
1171,25/9/2022,0.08475,0.05055181,baja
592,20/6/2019,0.088375,0.050582873,baja
58,8/7/2015,0.09675,0.050664877,baja
1109,16/7/2022,0.06775,0.050703713,baja
261,16/12/2016,0.15375,0.050733127,baja
457,18/6/2018,0.13575,0.050759617,baja
540,10/12/2018,0.092625,0.050907441,baja
131,20/3/2016,0.2555,0.050942651,baja
903,14/5/2021,0.1205,0.051087464,baja
469,2/7/2018,0.067875,0.051242882,baja
318,9/7/2017,0.07875,0.05131033,baja
159,22/5/2016,0.080875,0.051498299,baja
185,26/6/2016,0.1105,0.051578107,baja
895,2/5/2021,0.06375,0.051586344,baja
301,18/6/2017,0.067,0.051635406,baja
111,7/12/2015,0.14425,0.051743522,baja
98,9/10/2015,0.1035,0.051769165,baja
602,1/7/2019,0.1165,0.051777465,baja
680,24/10/2019,0.1255,0.051804093,baja
1178,7/10/2022,0.0955,0.051807673,baja
844,28/10/2020,0.07125,0.051974604,baja
516,18/9/2018,0.13425,0.052189229,baja
191,5/7/2016,0.080625,0.052238777,baja
722,1/5/2020,0.0875,0.052417022,baja
421,22/4/2018,0.13475,0.052475067,baja
692,1/12/2019,0.163,0.052541298,baja
582,6/6/2019,0.049875,0.052583812,baja
730,16/5/2020,0.12225,0.052607861,baja
553,8/4/2019,0.14025,0.052626364,baja
230,5/9/2016,0.1855,0.052813079,baja
738,25/5/2020,0.08975,0.052887962,baja
193,11/7/2016,0.046125,0.05294473,baja
543,9/1/2019,0.136,0.053065185,baja
1172,28/9/2022,0.07825,0.053100887,baja
319,10/7/2017,0.057625,0.053233796,baja
1092,25/6/2022,0.090125,0.053261481,baja
748,8/6/2020,0.09175,0.053457891,baja
874,7/2/2021,0.129,0.053460487,baja
140,27/4/2016,0.11925,0.053526098,baja
134,25/3/2016,0.25133,0.053642932,baja
623,29/7/2019,0.066625,0.05364361,baja
877,25/2/2021,0.2065,0.053730348,baja
430,10/5/2018,0.06675,0.053732843,baja
591,19/6/2019,0.07,0.053887609,baja
330,26/7/2017,0.0825,0.054022314,baja
165,28/5/2016,0.108,0.054114709,baja
102,13/10/2015,0.057,0.054188668,baja
625,31/7/2019,0.082,0.054208887,baja
59,10/7/2015,0.037375,0.054307612,baja
928,19/6/2021,0.049,0.054369873,baja
95,5/10/2015,0.1445,0.05445844,baja
118,21/1/2016,0.282,0.054503671,baja
1081,13/6/2022,0.057625,0.054599322,baja
82,7/8/2015,0.07975,0.054859066,baja
83,7/9/2015,0.064,0.054932665,baja
629,4/8/2019,0.134,0.055026437,baja
167,30/5/2016,0.071125,0.055088432,baja
833,23/9/2020,0.18475,0.05509581,baja
923,13/6/2021,0.061,0.055111311,baja
972,17/8/2021,0.072,0.055130136,baja
832,22/9/2020,0.071,0.055139024,baja
631,6/8/2019,0.080625,0.055442689,baja
494,14/8/2018,0.04725,0.055456774,baja
274,25/4/2017,0.1675,0.055463129,baja
422,23/4/2018,0.194,0.055534437,baja
358,29/8/2017,0.095875,0.055539127,baja
53,29/6/2015,0.072875,0.055564005,baja
815,22/8/2020,0.185,0.055601244,baja
160,23/5/2016,0.12075,0.055645432,baja
266,20/3/2017,0.0795,0.055650477,baja
702,4/3/2020,0.20633,0.055687893,baja
560,3/5/2019,0.042625,0.055795279,baja
132,21/3/2016,0.12975,0.055858256,baja
360,31/8/2017,0.099875,0.055870162,baja
1129,9/8/2022,0.10025,0.056116057,baja
10,3/5/2015,0.11625,0.056285759,baja
21,21/5/2015,0.0965,0.05628764,baja
740,27/5/2020,0.0605,0.056436136,baja
1097,30/6/2022,0.046,0.056439049,baja
328,24/7/2017,0.068125,0.056533375,baja
620,26/7/2019,0.088375,0.056712933,baja
322,13/7/2017,0.0765,0.056720545,baja
695,6/1/2020,0.166375,0.056722376,baja
434,14/5/2018,0.0785,0.056786703,baja
168,31/5/2016,0.0565,0.056842664,baja
96,6/10/2015,0.0875,0.056878279,baja
196,14/7/2016,0.11825,0.056912739,baja
125,11/3/2016,0.181,0.057252862,baja
260,15/12/2016,0.1765,0.057358283,baja
484,27/7/2018,0.05275,0.057627131,baja
233,9/9/2016,0.113835,0.057702115,baja
630,5/8/2019,0.072,0.05783006,baja
963,8/8/2021,0.070625,0.057833593,baja
687,17/11/2019,0.114,0.057851564,baja
570,24/5/2019,0.0875,0.05788751,baja
704,14/3/2020,0.2055,0.058020644,baja
61,12/7/2015,0.065625,0.058057106,baja
576,30/5/2019,0.101,0.058072577,baja
771,2/7/2020,0.0605,0.058085242,baja
272,20/4/2017,0.065625,0.058202518,baja
594,22/6/2019,0.08725,0.058246402,baja
62,13/7/2015,0.116,0.0582931,baja
19,19/5/2015,0.1805,0.058303552,baja
29,30/5/2015,0.085125,0.058432472,baja
939,4/7/2021,0.0645,0.058460539,baja
709,9/4/2020,0.1755,0.058507537,baja
1022,19/1/2022,0.2915,0.058608367,baja
227,29/8/2016,0.10275,0.058630569,baja
667,27/9/2019,0.19075,0.058652052,baja
794,28/7/2020,0.093375,0.058793677,baja
63,14/7/2015,0.291,0.058844248,baja
891,27/4/2021,0.09,0.058925961,baja
834,24/9/2020,0.094625,0.058968428,baja
248,13/10/2016,0.102625,0.059009975,baja
271,19/4/2017,0.103,0.059053938,baja
152,15/5/2016,0.0605,0.059061423,baja
407,27/3/2018,0.14625,0.059074694,baja
332,28/7/2017,0.091875,0.059227008,baja
674,11/10/2019,0.156835,0.059231537,baja
886,19/4/2021,0.133,0.059262815,baja
711,11/4/2020,0.137,0.059433727,baja
92,27/9/2015,0.10475,0.059449214,baja
867,9/12/2020,0.322,0.059488473,baja
956,24/7/2021,0.13025,0.059592621,baja
1190,2/11/2022,0.09,0.059610788,baja
459,20/6/2018,0.1295,0.059641841,baja
1018,20/11/2021,0.23175,0.059698514,baja
1021,30/12/2021,0.209,0.059814369,baja
438,18/5/2018,0.078375,0.059829047,baja
951,18/7/2021,0.135,0.059899413,baja
930,21/6/2021,0.11275,0.0599154,baja
296,13/6/2017,0.041375,0.060055408,baja
314,5/7/2017,0.0725,0.060150346,baja
234,10/9/2016,0.107,0.060320699,baja
162,25/5/2016,0.093,0.060401853,baja
100,11/10/2015,0.0625,0.06041918,baja
751,11/6/2020,0.07275,0.060444421,baja
235,11/9/2016,0.087585,0.060507302,baja
713,13/4/2020,0.047,0.06055181,baja
843,26/10/2020,0.07125,0.06065166,baja
929,20/6/2021,0.084375,0.060652133,baja
136,13/4/2016,0.13175,0.060699964,baja
476,15/7/2018,0.068,0.060722171,baja
41,13/6/2015,0.083125,0.060816282,baja
378,4/10/2017,0.064875,0.060842274,baja
237,13/9/2016,0.09575,0.060874493,baja
99,10/10/2015,0.10625,0.060886686,baja
187,29/6/2016,0.142,0.061212745,baja
110,26/11/2015,0.17367,0.061364262,baja
445,25/5/2018,0.078125,0.061689121,baja
732,18/5/2020,0.17075,0.061887292,baja
1010,22/10/2021,0.094375,0.061912639,baja
898,5/5/2021,0.12425,0.061932999,baja
1013,25/10/2021,0.09075,0.061936772,baja
290,1/6/2017,0.1375,0.061964688,baja
295,11/6/2017,0.125,0.062005911,baja
890,26/4/2021,0.13575,0.06205548,baja
109,25/11/2015,0.1685,0.062079049,baja
431,11/5/2018,0.143875,0.06208367,baja
35,6/6/2015,0.067,0.062144345,baja
181,22/6/2016,0.068375,0.062213183,baja
736,23/5/2020,0.15525,0.062296451,baja
393,21/11/2017,0.1565,0.062358508,baja
317,8/7/2017,0.05425,0.062391632,baja
905,16/5/2021,0.11525,0.062510147,baja
366,18/9/2017,0.12225,0.062551088,baja
538,8/12/2018,0.1405,0.062614954,baja
157,20/5/2016,0.060375,0.062719624,baja
604,3/7/2019,0.07425,0.062847483,baja
1177,6/10/2022,0.0455,0.062852603,baja
588,12/6/2019,0.10325,0.062945284,baja
919,7/6/2021,0.129625,0.063049888,baja
9,30/4/2015,0.2265,0.063118197,baja
42,14/6/2015,0.064875,0.063156687,baja
731,17/5/2020,0.0795,0.063172489,baja
155,18/5/2016,0.062375,0.06320117,baja
773,4/7/2020,0.054875,0.063217203,baja
912,26/5/2021,0.23,0.063245764,baja
243,27/9/2016,0.098625,0.063298475,baja
60,11/7/2015,0.05325,0.063409171,baja
721,30/4/2020,0.16925,0.063419425,baja
171,4/6/2016,0.0505,0.063454671,baja
902,12/5/2021,0.19275,0.063456305,baja
1077,8/6/2022,0.052375,0.063811996,baja
598,27/6/2019,0.10625,0.063822189,baja
808,12/8/2020,0.14025,0.06389663,baja
729,15/5/2020,0.101125,0.063902903,baja
400,16/12/2017,0.28733,0.063944714,baja
931,24/6/2021,0.05275,0.063967405,baja
477,16/7/2018,0.11925,0.064072774,baja
881,11/3/2021,0.2165,0.064183018,baja
505,3/9/2018,0.051,0.064302384,baja
959,2/8/2021,0.1055,0.06434782,baja
536,4/12/2018,0.089625,0.064467345,baja
