,date,AOD_550_maiac_mean,AOD_550_AER_mean
1,14/1/2015,0.244375,0.260064699
2,16/1/2015,0.1355,0.136107808
3,17/1/2015,0.43075,0.455966401
4,18/1/2015,0.379,0.393703502
5,19/1/2015,0.32975,0.326935227
6,20/1/2015,0.2165,0.235812204
7,21/1/2015,0.29175,0.339825286
8,10/2/2015,0.1865,0.224774534
9,11/2/2015,0.26175,0.253284472
10,16/2/2015,0.112,0.117744252
11,18/2/2015,0.16475,0.275213047
12,19/2/2015,0.389,0.352889416
13,20/2/2015,0.25225,0.320249792
14,21/2/2015,0.30275,0.393953636
15,22/2/2015,0.174,0.145264156
16,23/2/2015,0.0545,0.08017023
17,24/2/2015,0.17975,0.212103237
18,26/2/2015,0.172125,0.150687795
19,27/2/2015,0.0785,0.194093645
20,28/2/2015,0.135625,0.128311926
21,1/3/2015,0.167375,0.223195934
22,2/3/2015,0.131,0.129009378
23,3/3/2015,0.2355,0.366182877
24,4/3/2015,0.262,0.381731217
25,5/3/2015,0.16175,0.194043037
26,30/3/2015,0.11475,0.101710032
27,31/3/2015,0.0665,0.161044408
28,4/4/2015,0.00225,0.089302973
29,5/4/2015,0.255125,0.218965934
30,6/4/2015,0.23075,0.290938102
31,9/4/2015,0.2805,0.518852348
32,10/4/2015,0.3205,0.402059119
33,16/4/2015,0.12075,0.397891318
34,17/4/2015,0.588,0.490449117
35,20/4/2015,0.18325,0.347276276
36,21/4/2015,0.22225,0.216485753
37,23/4/2015,0.14733,0.345326949
38,24/4/2015,0.13875,0.104809207
39,6/5/2015,0.318,0.263839265
40,7/5/2015,0.225,0.188982812
41,8/5/2015,0.140625,0.08221745
42,16/5/2015,0.368,0.267339578
43,17/5/2015,0.33,0.235496131
44,18/5/2015,0.0925,0.311838797
45,25/5/2015,0.0675,0.314452797
46,27/5/2015,0.31925,0.393879046
47,8/6/2015,0.044125,0.1188941
48,9/6/2015,0.218625,0.26953303
49,10/6/2015,0.278875,0.390118174
50,12/6/2015,0.151,0.326073791
51,16/6/2015,0.4125,0.353977036
52,19/6/2015,0.241,0.204330623
53,26/7/2015,0.10725,0.214367774
54,28/7/2015,0.0585,0.218706629
55,3/8/2015,0.318,0.356375058
56,6/8/2015,0.101,0.301507898
57,7/8/2015,0.2905,0.175238776
58,8/8/2015,0.01675,0.194391474
59,10/8/2015,0.2005,0.185276352
60,27/8/2015,0.21067,0.247185129
61,23/9/2015,0.19575,0.26739266
62,2/10/2015,0.0935,0.189305898
63,3/10/2015,0.166125,0.250012151
64,20/10/2015,0.23925,0.236679121
65,6/11/2015,0.27625,0.646873242
66,12/11/2015,0.2505,0.23989813
67,6/12/2015,0.31275,0.362424683
68,6/1/2016,0.14475,0.056172654
69,7/1/2016,0.082665,0.10832982
70,9/1/2016,0.03225,0.068330174
71,11/1/2016,0.03475,0.051373976
72,15/1/2016,0.052625,0.039813304
73,17/1/2016,0.131875,0.092727239
74,21/1/2016,0.16975,0.214481116
75,22/1/2016,0.246,0.237615492
76,23/1/2016,0.10525,0.125313329
77,1/2/2016,0.1555,0.120183245
78,2/2/2016,0.20575,0.137735352
79,3/2/2016,0.145375,0.175492197
80,4/2/2016,0.456375,0.445281703
81,5/2/2016,0.24575,0.254118214
82,6/2/2016,0.33525,0.253145679
83,7/2/2016,0.069,0.088159138
84,11/2/2016,0.2335,0.2385703
85,12/2/2016,0.130625,0.1364124
86,17/2/2016,0.078625,0.091277488
87,18/2/2016,0.276,0.322089
88,19/2/2016,0.23933,0.217415763
89,20/2/2016,0.2725,0.312174565
90,21/2/2016,0.24625,0.208408548
91,22/2/2016,0.4125,0.418187991
92,23/2/2016,0.1255,0.210496586
93,8/3/2016,0.07,0.290457883
94,11/3/2016,0.045375,0.030088481
95,12/3/2016,0.113875,0.128866044
96,13/3/2016,0.14125,0.153511268
97,14/3/2016,0.31196,0.278470873
98,15/3/2016,0.239,0.23538364
99,29/3/2016,0.0465,0.094106884
100,31/3/2016,0.22325,0.272852423
101,1/4/2016,0.13725,0.093338409
102,4/4/2016,0.3195,0.370449621
103,5/4/2016,0.32075,0.29842332
104,8/4/2016,0.49675,0.407273775
105,11/4/2016,0.17875,0.403166326
106,13/4/2016,0.28525,0.33461904
107,15/4/2016,0.234,0.294416472
108,16/4/2016,0.35625,0.314733957
109,17/4/2016,0.38975,0.27541956
110,27/4/2016,0.062,0.066173153
111,2/5/2016,0.2145,0.339853982
112,4/5/2016,0.5775,0.65189394
113,6/5/2016,0.14725,0.279414773
114,7/5/2016,0.11725,0.133949477
115,8/5/2016,0.2055,0.19072431
116,17/5/2016,0.528,0.336397908
117,19/5/2016,0.58525,0.441398533
118,22/5/2016,0.42525,0.601646627
119,24/5/2016,0.48675,0.449782365
120,25/5/2016,0.15475,0.209267676
121,26/5/2016,0.699,0.699995387
122,31/5/2016,0.36325,0.473573279
123,23/6/2016,0.279,0.281854985
124,7/7/2016,0.288,0.227063859
125,8/7/2016,0.294,0.298923693
126,29/7/2016,0.20975,0.156119201
127,15/8/2016,0.2675,0.254139669
128,26/8/2016,0.279,0.389984513
129,31/8/2016,0.30275,0.45508212
130,7/9/2016,0.2605,0.33716132
131,8/9/2016,0.2325,0.212381007
132,14/9/2016,0.28,0.364737114
133,2/10/2016,0.26,0.192752913
134,5/10/2016,0.141,0.155485954
135,6/10/2016,0.1435,0.198497853
136,7/10/2016,0.19275,0.295299948
137,10/10/2016,0.36,0.294292002
138,12/10/2016,0.21775,0.25329703
139,13/10/2016,0.1105,0.106695168
140,14/10/2016,0.098625,0.135064851
141,15/10/2016,0.348,0.305330532
142,19/10/2016,0.22275,0.191837518
143,20/10/2016,0.189,0.214569148
144,26/10/2016,0.199,0.214360707
145,1/11/2016,0.13925,0.163179033
146,2/11/2016,0.20175,0.148556639
147,6/11/2016,0.33833,0.318047543
148,7/11/2016,0.15075,0.117509018
149,14/11/2016,0.35,0.315610641
150,21/11/2016,0.14675,0.123851067
151,23/11/2016,0.19875,0.218116867
152,25/11/2016,0.375415,0.480016187
153,26/11/2016,0.15425,0.205567247
154,27/11/2016,0.312875,0.396745359
155,5/12/2016,0.0795,0.020546521
156,10/1/2017,0.128375,0.150002921
157,12/1/2017,0.16875,0.174944835
158,13/1/2017,0.125,0.150403255
159,14/1/2017,0.2185,0.278973953
160,15/1/2017,0.234125,0.210560093
161,16/1/2017,0.12925,0.11535243
162,18/1/2017,0.318125,0.383450326
163,20/1/2017,5.00E-04,0.05552673
164,21/1/2017,0.037,0.043232819
165,22/1/2017,0.079125,0.133395037
166,23/1/2017,0.1225,0.127141915
167,24/1/2017,0.104125,0.158545277
168,26/1/2017,0.21075,0.255073197
169,27/1/2017,0.10075,0.160971926
170,28/1/2017,0.183375,0.21074983
171,30/1/2017,0.365,0.338630804
172,31/1/2017,0.31975,0.340663958
173,2/2/2017,0.229,0.287111126
174,4/2/2017,0.36175,0.467841052
175,7/2/2017,0.153375,0.242013895
176,9/2/2017,0.01725,0.071062042
177,15/2/2017,0.09175,0.11490254
178,17/2/2017,0.08875,0.062885921
179,22/2/2017,0.18,0.181911561
180,23/2/2017,0.16125,0.165747972
181,24/2/2017,0.1545,0.159668847
182,25/2/2017,0.346,0.394398229
183,26/2/2017,0.114375,0.116110814
184,27/2/2017,0.1955,0.239966988
185,28/2/2017,0.1735,0.165783626
186,1/3/2017,0.19025,0.228009668
187,2/3/2017,0.26775,0.219115204
188,3/3/2017,0.289165,0.275840008
189,4/3/2017,0.30025,0.326837437
190,8/3/2017,0.37125,0.425995217
