,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
1,23/2/2015,0.09325,0.095901829,0.11625,0.095901829
4,18/4/2015,0.15825,0.200071366,0.1825,0.200071366
5,20/4/2015,0.06,0.188110515,0.074,0.188110515
6,27/4/2015,0.06,0.139625122,0.07125,0.139625122
8,16/5/2015,0.0715,0.12757614,0.0765,0.12757614
9,17/5/2015,0.10725,0.124267125,0.193,0.124267125
10,20/5/2015,0.13,0.181884125,0.17775,0.181884125
11,21/5/2015,0.07175,0.12093832,0.068,0.12093832
12,22/5/2015,0.0375,0.10559559,0.04575,0.10559559
14,4/6/2015,0.12296,0.155697248,0.145625,0.155697248
15,5/6/2015,0.030125,0.118825668,0.05725,0.118825668
16,6/6/2015,0.053,0.124211397,0.043,0.124211397
17,8/6/2015,0.053,0.127170489,0.0485,0.127170489
18,9/6/2015,0.066,0.199970691,0.1165,0.199970691
19,10/6/2015,0.04225,0.096281507,0.06425,0.096281507
20,11/6/2015,0.020915,0.083213617,0.022915,0.083213617
21,13/6/2015,0.044,0.076805932,0.03575,0.076805932
22,14/6/2015,0.05875,0.077548091,0.07275,0.077548091
23,18/6/2015,0.044,0.122863936,0.103,0.122863936
25,21/6/2015,0.036875,0.102056584,0.055375,0.102056584
26,22/6/2015,0.044375,0.103175526,0.038625,0.103175526
27,23/6/2015,0.025,0.075570015,0.0235,0.075570015
28,27/6/2015,0.03425,0.087088952,0.04375,0.087088952
29,28/6/2015,0.022625,0.059924596,0.047,0.059924596
30,30/6/2015,0.03125,0.075417327,0.03075,0.075417327
31,10/7/2015,0.07225,0.098833959,0.08125,0.098833959
33,19/7/2015,0.049,0.089306733,0.045625,0.080670994
34,24/7/2015,0.0715,0.154257489,0.09475,0.154257489
35,26/7/2015,0.148,0.188672551,0.122875,0.140712906
36,27/7/2015,0.0385,0.091153609,0.05775,0.091153609
37,28/7/2015,0.14425,0.16702864,0.166875,0.16702864
38,29/7/2015,0.08825,0.305255815,0.1195,0.305255815
39,30/7/2015,0.040625,0.153294115,0.057625,0.153294115
40,31/7/2015,0.076625,0.177744746,0.100375,0.177744746
41,1/8/2015,0.102625,0.200007146,0.101,0.200007146
42,2/8/2015,0.035375,0.103912531,0.054,0.103912531
43,3/8/2015,0.036875,0.092500131,0.03275,0.092500131
44,4/8/2015,0.0595,0.19266572,0.08625,0.19266572
45,5/8/2015,0.07825,0.17380647,0.1335,0.17380647
46,7/8/2015,0.0625,0.176409196,0.07575,0.176409196
47,8/8/2015,0.07825,0.171838461,0.0735,0.171838461
48,9/8/2015,0.126,0.21082885,0.16275,0.21082885
49,10/8/2015,0.0465,0.093490097,0.038125,0.093490097
50,11/8/2015,0.02875,0.128819054,0.041625,0.128819054
51,12/8/2015,0.067375,0.188663258,0.0725,0.188663258
52,13/8/2015,0.051625,0.13734586,0.06225,0.13734586
53,14/8/2015,0.050125,0.135943031,0.065125,0.135943031
54,15/8/2015,0.036,0.084162033,0.025,0.084162033
55,16/8/2015,0.0625,0.116995528,0.10725,0.116995528
56,17/8/2015,0.06625,0.116350538,0.05525,0.116350538
57,19/8/2015,0.114,0.217279787,0.113875,0.217279787
58,22/8/2015,0.1,0.260853897,0.1795,0.260853897
59,26/8/2015,0.2505,0.353160441,0.27025,0.353160441
60,6/10/2015,0.227,0.283336053,0.22433,0.283336053
61,7/10/2015,0.071375,0.160302036,0.10075,0.150089342
64,15/10/2015,0.134625,0.209330599,0.137375,0.209330599
66,19/10/2015,0.316,0.455181257,0.3425,0.455181257
67,20/10/2015,0.3205,0.394831059,0.311,0.394831059
68,30/10/2015,0.0455,0.077688428,0.064,0.077688428
70,27/11/2015,0.07775,0.150789083,0.1355,0.150789083
