,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
1,14/1/2015,0.203125,0.260064699,0.244375,0.260064699
2,16/1/2015,0.12125,0.136107808,0.1355,0.136107808
3,17/1/2015,0.39525,0.455966401,0.43075,0.455966401
4,18/1/2015,0.401,0.393703502,0.379,0.393703502
5,19/1/2015,0.29175,0.326935227,0.32975,0.326935227
7,21/1/2015,0.25,0.339825286,0.29175,0.339825286
8,10/2/2015,0.185,0.224774534,0.1865,0.224774534
9,11/2/2015,0.2265,0.253284472,0.26175,0.253284472
11,18/2/2015,0.1635,0.275213046,0.16475,0.275213046
12,19/2/2015,0.39225,0.352889416,0.389,0.352889416
13,20/2/2015,0.2195,0.320249792,0.25225,0.320249792
14,21/2/2015,0.30075,0.393953636,0.30275,0.393953636
15,22/2/2015,0.12425,0.145264155,0.174,0.145264155
16,23/2/2015,0.05825,0.08017023,0.0545,0.08017023
17,24/2/2015,0.1665,0.212103237,0.17975,0.212103237
18,26/2/2015,0.127,0.132542183,0.172125,0.150687795
19,27/2/2015,0.06325,0.194093645,0.0785,0.194093645
20,28/2/2015,0.131125,0.128311926,0.135625,0.128311926
21,1/3/2015,0.14925,0.223195934,0.167375,0.223195934
22,2/3/2015,0.1335,0.129009378,0.131,0.129009378
23,3/3/2015,0.245085,0.366182877,0.2355,0.366182877
24,4/3/2015,0.25825,0.381731217,0.262,0.381731217
25,5/3/2015,0.152,0.194043036,0.16175,0.194043036
28,30/3/2015,0.127625,0.101710032,0.11475,0.101710032
29,31/3/2015,0.05675,0.161044408,0.0665,0.161044408
30,4/4/2015,0.053,0.089302973,0.00225,0.089302973
31,5/4/2015,0.254,0.218965934,0.255125,0.218965934
32,6/4/2015,0.244375,0.290938102,0.23075,0.290938102
33,9/4/2015,0.25033,0.518852348,0.2805,0.518852348
34,10/4/2015,0.31975,0.402059119,0.3205,0.402059119
35,16/4/2015,0.16075,0.397891317,0.12075,0.397891317
37,20/4/2015,0.158,0.347276276,0.18325,0.347276276
38,21/4/2015,0.2385,0.216485753,0.22225,0.216485753
39,23/4/2015,0.16625,0.345326949,0.14733,0.345326949
40,24/4/2015,0.146,0.104809207,0.13875,0.104809207
41,6/5/2015,0.2845,0.263839265,0.318,0.263839265
43,8/5/2015,0.1475,0.06413627,0.140625,0.08221745
46,17/5/2015,0.299,0.235496131,0.33,0.235496131
47,18/5/2015,0.1155,0.311838797,0.0925,0.311838797
49,25/5/2015,0.06067,0.314452797,0.0675,0.314452797
50,27/5/2015,0.291,0.393879046,0.31925,0.393879046
52,8/6/2015,0.074875,0.1188941,0.044125,0.1188941
53,9/6/2015,0.23725,0.26953303,0.218625,0.26953303
54,10/6/2015,0.2535,0.390118174,0.278875,0.390118174
56,16/6/2015,0.3825,0.353977036,0.4125,0.353977036
57,19/6/2015,0.289,0.204330623,0.241,0.204330623
60,26/7/2015,0.17525,0.214367774,0.10725,0.214367774
62,3/8/2015,0.322,0.356375058,0.318,0.356375058
63,6/8/2015,0.13625,0.301507898,0.101,0.301507898
64,7/8/2015,0.331,0.175238776,0.2905,0.175238776
65,8/8/2015,0.0305,0.194391474,0.01675,0.194391474
66,10/8/2015,0.15475,0.185276352,0.2005,0.185276352
69,23/9/2015,0.186,0.26739266,0.19575,0.26739266
70,2/10/2015,0.0655,0.189305899,0.0935,0.189305899
